Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
55382,Cozy Grove,XOne,N/A,Simulation,Unknown  ,Spry Fox  ,,,,,,,
55383,Cozy Grove,PC,N/A,Simulation,Unknown  ,Spry Fox  ,,,,,,,
55384,Cozy Grove,NS,N/A,Simulation,Unknown  ,Spry Fox  ,,,,,,,
55385,Crackdown 3,PC,2019,Action,Microsoft Studios  ,Sumo Digital Ltd  ,,,,,,,
55386,Crash Bandicoot 4: It's About Time,All,2020,Platform,Activision  ,Toys for Bob  ,,,,,,,
55387,Crash Bandicoot 4: It's About Time,NS,2021,Platform,Activision  ,Toys for Bob  ,,,,,,,
55388,Crash Bandicoot 4: It's About Time,PC,N/A,Platform,Unknown  ,Toys for Bob  ,,,,,,,
55389,Crash Bandicoot 4: It's About Time,PS4,N/A,Platform,Unknown  ,Toys for Bob  ,,,,,,,
55390,Crash Bandicoot 4: It's About Time,PS5,N/A,Platform,Unknown  ,Toys for Bob  ,,,,,,,
55391,Crash Bandicoot 4: It's About Time,XOne,N/A,Platform,Unknown  ,Toys for Bob  ,,,,,,,
55392,Crash Bandicoot 4: It's About Time,XS,N/A,Platform,Unknown  ,Toys for Bob  ,,,,,,,
55393,Crash Bandicoot 4: It’s About Time,XOne,2020,Platform,Activision  ,Toys for Bob  ,,,,,,,
55394,Crash Bandicoot 4: It’s About Time,PS4,2020,Platform,Activision  ,Toys for Bob  ,,9.0,,,,,
55395,Crash Team Racing Nitro-Fueled,PS4,2019,Racing,Activision  ,Beenox  ,,,,,,,
55396,Crash Team Racing Nitro-Fueled,XOne,2019,Racing,Activision  ,Beenox  ,,,,,,,
55397,Crash Team Racing Nitro-Fueled,NS,2019,Racing,Activision  ,Beenox  ,,,,,,,
55398,Crash Team Racing Nitro-Fueled,All,2019,Racing,Activision  ,Beenox  ,,,,,,,
55399,Crash Time 4: The Syndicate,PS3,2011,Racing,DTP Entertainment  ,Synetic  ,,,,,,,
55400,Crashmo,3DS,2012,Puzzle,Nintendo  ,Intelligent Systems  ,,,,,,,
55401,Crawl,NS,2017,Action,Powerhoof Pty Ltd  ,Powerhoof  ,,,,,,,
55402,Crayola Scoot,PC,2018,Sports,Outright Games  ,Climax Studios  ,,,,,,,
55403,"Creature Clicker - Capture, Train, Ascend!",PC,N/A,Misc,Unknown  ,ColloseusX  ,,,,,,,
55404,Creature in the Well,NS,N/A,Action-Adventure,Unknown  ,Flight School Studio  ,,,,,,,
55405,Creature in the Well,XOne,N/A,Action-Adventure,Unknown  ,Flight School Studio  ,,,,,,,
55406,Creature in the Well,PC,N/A,Action-Adventure,Unknown  ,Flight School Studio  ,,,,,,,
55407,Creed: Rise to Glory,OR,N/A,Fighting,Unknown  ,Survios  ,,,,,,,
55408,Cricket 19 - The Official Game of the Ashes,XOne,2019,Sports,Big Ant Studios  ,Big Ant Studios  ,,,,,,,
55409,Cricket 19 - The Official Game of the Ashes,PS4,2019,Sports,Big Ant Studios  ,Big Ant Studios  ,,,,,,,
55410,Cricket 19 - The Official Game of the Ashes,PC,2019,Sports,Big Ant Studios  ,Big Ant Studios  ,,,,,,,
55411,Cricket 19 - The Official Game of the Ashes,NS,2019,Sports,Big Ant Studios  ,Big Ant Studios  ,,,,,,,
55412,CrimeSight,PC,N/A,Strategy,Unknown  ,Konami  ,,,,,,,
55413,Criminal Girls: Invite Only,PC,2017,Role-Playing,NIS America  ,Nippon Ichi Software  ,,,,,,,
55414,Crimsonland,NS,2017,Shooter,10tons Ltd  ,10tons Ltd  ,,,,,,,
55415,Cris Tales,XOne,2020,Role-Playing,Modus Games  ,Dreams Uncorporated  ,,,,,,,
55416,Cris Tales,PS4,2020,Role-Playing,Modus Games  ,Dreams Uncorporated  ,,,,,,,
55417,Cris Tales,PC,2020,Role-Playing,Modus Games  ,Dreams Uncorporated  ,,,,,,,
55418,Cris Tales,NS,2020,Role-Playing,Modus Games  ,Dreams Uncorporated  ,,,,,,,
55419,Cris Tales,XS,2020,Role-Playing,Modus Games  ,Dreams Uncorporated  ,,,,,,,
55420,Cris Tales,PS5,2020,Role-Playing,Modus Games  ,Dreams Uncorporated  ,,,,,,,
55421,Croixleur Sigma,NS,N/A,Action,Unknown  ,souvenir circ.  ,,,,,,,
55422,CrossCode,NS,2020,Role-Playing,Deck 13  ,Radical Fish Games  ,,,,,,,
55423,CrossCode,XOne,2020,Role-Playing,DECK13 Interactive GmbH  ,Radical Fish Games  ,,,,,,,
55424,CrossCode,PC,2018,Role-Playing,DECK13 Interactive GmbH  ,Radical Fish Games  ,,,,,,,
55425,Crossfire X,XOne,N/A,Action,Unknown  ,Unknown  ,,,,,,,
55426,Crossfire X,PC,N/A,Action,Unknown  ,Unknown  ,,,,,,,
55427,CrossfireX,XS,2021,Shooter,Smilegate Megaport  ,Remedy Entertainment  ,,,,,,,
55428,CrossfireX,XOne,2021,Shooter,Smilegate Megaport  ,Remedy Entertainment  ,,,,,,,
55429,Crossing Souls,PS4,2018,Action-Adventure,Devolver Digital  ,Fourattic  ,,,,,,,
55430,Crosswords I,Int,N/A,Misc,Unknown  ,Mattel  ,,,,,,,
55431,Crosswords II,Int,N/A,Misc,Unknown  ,Mattel  ,,,,,,,
55432,Crosswords III,Int,N/A,Misc,Unknown  ,Mattel  ,,,,,,,
55433,Crown Trick,NS,2020,Role-Playing,Team17  ,NEXT Studios  ,,,,,,,
55434,Crown Trick,PC,2020,Role-Playing,Team17  ,NEXT Studios  ,,,,,,,
55435,Crowntakers,Linux,2014,Role-Playing,Kasedo Games  ,Bulwark Studios  ,,,,,,,
55436,Crucible,PC,2020,Shooter,Amazon Game Studios  ,Relentless Software  ,,,,,,,
55437,Cruis'n Blast,NS,2021,Racing,Nintendo  ,Nintendo  ,,,,,,,
55438,Crusader Kings III: Console Edition,XS,N/A,Strategy,Unknown  ,Paradox Interactive  ,,,,,,,
55439,Crusader Kings III: Console Edition,PS5,N/A,Strategy,Unknown  ,Paradox Interactive  ,,,,,,,
55440,Crying Suns,PC,2019,Strategy,Humble Bundle  ,Alt Shift  ,,,,,,,
55441,Crying Suns,iOS,N/A,Strategy,Unknown  ,Alt Shift  ,,,,,,,
55442,Crying Suns,And,N/A,Strategy,Unknown  ,Alt Shift  ,,,,,,,
55443,Crypt of the NecroDancer,PS4,2016,Music,Brace Yourself Games  ,Brace Yourself Games  ,,,,,,,
55444,Crypt of the NecroDancer,PSV,2016,Music,Brace Yourself Games  ,Brace Yourself Games  ,,,,,,,
55445,Crypt of the NecroDancer,XOne,2017,Music,Brace Yourself Games  ,Brace Yourself Games  ,,,,,,,
55446,Crypt of the NecroDancer: Nintendo Switch Edition,NS,2018,Music,Brace Yourself Games  ,Brace Yourself Games  ,,,,,,,
55447,Crypto: Against All Odds,PC,N/A,Strategy,Unknown  ,Pictagor  ,,,,,,,
