Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,vg_user_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
PC,93,8.8,1999.0,Strategy,Sierra Entertainment  ,Relic  ,9.1,,,0.02,,0.0,0.02
PS2,93,9.1,2006.0,Adventure,Capcom  ,Clover Studio  ,9.4,9.0,0.11,0.03,0.15,0.34,0.63
PS3,93,8.2,2007.0,Role-Playing,Bethesda Softworks  ,4J Studios  ,9.3,,1.69,0.86,0.14,0.44,3.12
X360,93,8.5,2008.0,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9.0,8.6,3.41,0.99,0.09,0.46,4.96
X360,93,7.9,2008.0,Shooter,Microsoft Game Studios  ,Epic Games  ,9.4,9.5,4.15,1.91,0.06,0.64,6.75
PS2,93,8.4,2003.0,Sports,Konami  ,Konami Computer Entertainment Tokyo  ,,,0.12,1.26,1.16,0.45,2.99
PS2,93,7.3,2002.0,Sports,Sega  ,Visual Concepts  ,,,1.06,0.08,,0.18,1.32
X360,93,6.0,2012.0,Role-Playing,Electronic Arts  ,BioWare  ,,,1.94,0.84,0.03,0.24,3.04
PS5,93,8.4,,Role-Playing,Unknown  ,Supergiant Games  ,,,,,,,
PS4,93,8.2,2015.0,Action,Konami Digital Entertainment  ,Kojima Productions  ,,,0.97,1.15,0.5,0.42,3.04
DC,93,8.9,2000.0,Role-Playing,Sega  ,Overworks  ,9.2,,,,0.09,,0.09
Wii,93,8.1,2011.0,Adventure,Nintendo  ,Nintendo EAD  ,9.4,,2.03,1.18,0.37,0.39,3.96
X360,93,8.0,2010.0,Misc,MTV Games  ,Harmonix Music Systems  ,9.4,,0.73,0.09,,0.06,0.88
DC,93,8.3,2000.0,Racing,Infogrames  ,Melbourne House Pty Ltd.  ,8.2,,,,,,
DC,93,7.2,2000.0,Sports,Sega  ,Visual Concepts  ,9.2,,,,,,
PS,93,9.2,1997.0,Platform,Konami  ,Konami Computer Entertainment Tokyo  ,9.3,9.0,0.58,0.4,0.21,0.08,1.27
PC,93,8.9,2020.0,Action-Adventure,Supergiant Games  ,Supergiant Games  ,,,,,,,
PC,93,9.0,2003.0,Role-Playing,LucasArts  ,BioWare Corp.  ,,,0.01,0.11,,0.02,0.14
PS2,93,8.7,2003.0,Fighting,Sega  ,Sega-AM2  ,8.9,,0.35,0.27,,0.09,0.71
PS4,93,8.8,2016.0,Action,Sony Interactive Entertainment  ,Naughty Dog  ,9.2,,4.49,3.93,0.21,1.7,10.33
NS,93,8.6,2018.0,Fighting,Nintendo  ,Bandai Namco Games  ,9.4,9.7,4.22,1.72,2.41,0.61,8.95
PS3,93,5.8,2012.0,Role-Playing,Electronic Arts  ,BioWare  ,,,0.65,0.58,0.03,0.2,1.46
N64,93,9.0,2001.0,Role-Playing,Nintendo  ,Intelligent Systems  ,9.1,,0.58,0.18,0.59,0.02,1.38
XB,93,8.8,2005.0,Action,Rockstar Games  ,Rockstar North  ,9.2,,1.26,0.61,,0.09,1.95
XOne,93,8.7,2019.0,Action-Adventure,Capcom  ,Capcom  ,,,,,,,
PC,93,7.4,2004.0,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,9.2,8.0,0.12,6.24,,,6.35
PC,93,8.9,2005.0,Action,Rockstar Games  ,Rockstar North  ,9.4,,0.0,0.93,,0.04,0.97
PS2,93,8.4,2004.0,Sports,Konami  ,Konami Computer Entertainment Tokyo  ,9.2,,0.08,1.24,1.13,0.45,2.9
DC,93,7.4,2001.0,Sports,Sega  ,Visual Concepts  ,9.6,,,,,,
PS2,92,8.7,2003.0,Fighting,Namco  ,Namco  ,9.1,,1.06,0.62,0.13,0.25,2.06
PS3,92,6.6,2011.0,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,9.0,,2.57,2.68,0.25,0.99,6.49
XB,92,8.0,2003.0,Adventure,Ubisoft  ,Ubisoft Montreal  ,9.0,,0.57,0.33,,0.04,0.94
PC,92,8.5,2007.0,Shooter,Activision  ,Infinity Ward  ,9.3,,,1.12,,0.03,1.15
