Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,vg_user_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
PS4,76,6.5,,Shooter,Unknown  ,Gearbox Software  ,,,,,,,
WiiU,76,7.9,2015.0,Adventure,Frima Studio  ,Frima Studio  ,,,,,,,
PC,76,7.8,2007.0,Action,Ubisoft  ,SourceNext  ,8.0,,,0.01,,0.0,0.01
PC,76,7.7,2019.0,Adventure,Sony Computer Entertainment  ,Quantic Dream  ,,,,,,,
NS,76,7.5,2018.0,Strategy,inXile Entertainment  ,InXile Entertainment  ,,,,,,,
NS,76,8.2,2018.0,Action,Bandai Namco Entertainment  ,Omega Force  ,8.5,,,0.01,0.05,0.0,0.06
XOne,76,7.4,2014.0,Shooter,Electronic Arts  ,PopCap Games  ,7.6,,0.39,0.25,0.0,0.06,0.71
PS4,76,7.7,2014.0,Fighting,Tecmo Koei  ,Omega Force  ,,,0.08,0.07,0.06,0.03,0.25
NS,76,tbd,,Sports,Unknown  ,Demagog Studio  ,,,,,,,
PS2,76,8.4,2005.0,Simulation,Ubisoft  ,IR Gurus Interactive  ,,,0.14,0.11,,0.04,0.29
PS3,76,6.6,,Misc,Unknown  ,Unknown  ,,,,,,,
DS,76,tbd,2010.0,Puzzle,Majesco  ,"Tetris Online, Inc  ",,,0.28,0.3,0.12,0.07,0.77
PS2,76,7.8,2004.0,Role-Playing,inXile Entertainment  ,InXile Entertainment  ,,,0.1,0.08,,0.03,0.21
3DS,76,8.0,2012.0,Role-Playing,Level 5  ,Nex Entertainment  ,7.9,,,,,,
PC,76,8.2,2010.0,Shooter,Devolver Digital  ,Croteam  ,,,,,,,
PS4,76,5.7,2020.0,Platform,Playful  ,Playful Corp.  ,,,,,,,
XOne,76,6.7,2019.0,Shooter,Crytek  ,Crytek  ,,,,,,,
PC,76,7.1,2010.0,Strategy,W!Games  ,W!Games  ,,,,0.0,,0.0,0.01
PC,76,8.3,2017.0,Action,Perfect World Entertainment  ,Motiga  ,,,,,,,
PS3,76,8.1,2012.0,Sports,THQ  ,Unknown  ,,,0.51,0.62,,0.22,1.35
PSP,76,7.9,2006.0,Puzzle,Sony Computer Entertainment  ,Team17 Software  ,7.3,,0.12,0.52,,0.23,0.86
PS3,76,6.9,2006.0,Sports,Activision  ,Neversoft Entertainment  ,7.9,,0.3,0.23,0.01,0.1,0.63
PC,76,8.6,,Adventure,Unknown  ,Silver Lining Studio  ,,,,,,,
PC,76,tbd,,Strategy,Unknown  ,ByteRockers Games  ,,,,,,,
PC,76,7.0,2017.0,Shooter,Gearbox Software  ,People Can Fly  ,,,,,,,
PC,76,7.1,2014.0,Shooter,Terrible Posture Games LLC  ,Terrible Posture Games  ,,,,,,,
Wii,76,8.5,2010.0,Sports,EA Sports  ,EA Canada  ,7.6,,0.39,,,0.03,0.42
PC,76,7.3,2011.0,Shooter,Tripwire Interactive  ,Tripwire Interactive  ,7.7,,0.04,0.07,,0.02,0.13
PS4,76,7.2,2017.0,Role-Playing,Wired Productions  ,Haemimont Games  ,,,,,,,
PS3,76,8.3,2010.0,Fighting,Namco Bandai  ,CyberConnect2  ,7.3,,0.42,0.47,0.15,0.17,1.21
PSV,76,7.8,2014.0,Platform,Sony Computer Entertainment  ,Mass Media  ,,,,0.01,,0.0,0.02
PC,76,6.9,2013.0,Adventure,Double Fine Productions  ,Double Fine Productions  ,,,,0.0,,0.0,0.01
PC,76,7.1,,Music,Unknown  ,Dylan Fitterer  ,,,,,,,
PC,76,6.3,2011.0,Shooter,Kalypso Media  ,Mediatonic Ltd.  ,7.5,,,,,,
PS3,76,6.9,2008.0,Strategy,Ubisoft  ,Ubisoft Shanghai  ,,,0.33,0.22,0.01,0.11,0.67
XB,76,tbd,2003.0,Racing,Atari  ,Eden Studios  ,,,0.01,0.0,,0.0,0.02
PS2,76,8.7,2002.0,Fighting,Capcom  ,Capcom  ,8.2,,0.31,0.24,0.13,0.08,0.76
PS2,76,8.3,2002.0,Sports,Midway Games  ,Point of View  ,,,0.14,0.11,,0.04,0.28
PS2,76,7.9,2001.0,Role-Playing,Ubisoft  ,Genki  ,,,0.05,0.04,,0.01,0.1
PS2,76,7.3,2001.0,Fighting,THQ  ,Yuke's  ,,,1.19,1.15,0.04,0.41,2.79
PC,76,6.8,2001.0,Strategy,Mumbo Jumbo  ,Take 2 Interactive  ,,,,,,,
DC,76,8.3,2001.0,Role-Playing,Conspiracy Entertainment  ,Neverland Company  ,7.8,,,,,,
DC,76,8.1,2000.0,Racing,Ubisoft  ,Ubisoft  ,7.3,,,,,,
XOne,76,6.4,2018.0,Simulation,Maximum Games  ,Haemimont Games  ,,,0.04,,,0.01,0.05
NS,76,7.5,2018.0,Adventure,Henchman & Goon  ,Henchman & Goon  ,,9.0,,,,,
3DS,76,8.0,2015.0,Misc,Xseed Games  ,Marvelous  ,7.7,,,0.15,0.28,0.01,0.44
XB,76,8.2,2005.0,Adventure,THQ  ,Pandemic Studios  ,,,0.34,0.11,,0.02,0.46
DS,76,8.2,2011.0,Action,Sega  ,Way Forward  ,8.5,,0.09,0.05,,0.02,0.17
PS5,76,4.2,2020.0,Shooter,Activision  ,Treyarch  ,,,,,,,
PS4,76,4.3,2015.0,Shooter,2K Games  ,Turtle Rock Studios  ,,,0.38,0.41,0.05,0.16,1.01
X360,76,8.0,2009.0,Strategy,Eidos Interactive  ,Eidos Studios Hungary  ,,,0.17,0.11,0.01,0.03,0.32
PS2,76,8.4,2003.0,Action,Rockstar Games  ,Rockstar North  ,8.0,,0.63,0.49,,0.16,1.28
NS,76,7.0,2019.0,Role-Playing,Devolver Digital  ,onebitbeyond  ,,,,,,,
PC,76,8.3,2017.0,Shooter,Devolver Digital  ,Crackshell  ,,,,,,,
PS3,76,7.7,2015.0,Role-Playing,Tecmo Koei  ,Gust  ,,,0.07,0.03,0.08,0.02,0.2
PS3,76,7.7,2015.0,Role-Playing,Tecmo Koei  ,Gust  ,,,,,,,
PC,76,6.8,2012.0,Adventure,Unknown  ,Cranberry Production  ,,,,0.05,,0.0,0.05
PC,76,6.9,2009.0,Adventure,Her Interactive  ,Her Interactive  ,,,,,,,
DS,76,7.0,2007.0,Racing,Codemasters  ,Firebrand Games  ,,,0.01,0.0,,0.0,0.02
X360,76,8.3,2007.0,Adventure,Codemasters  ,Triumph Studios  ,7.7,,0.34,0.03,0.01,0.03,0.4
PSP,76,8.1,2007.0,Racing,Electronic Arts  ,Criterion Games  ,7.8,,0.02,0.38,0.01,0.05,0.45
PS5,76,7.0,,Platform,Unknown  ,Sega  ,,,,,,,
DS,76,8.9,2006.0,Platform,Capcom  ,Inti Creates  ,8.1,,0.16,0.0,0.1,0.02,0.28
PS4,76,7.2,2020.0,Role-Playing,Playstack  ,Cold Symmetry  ,,,,,,,
PC,76,6.5,2012.0,Action,Activision  ,Radical Entertainment  ,,,0.09,0.03,,0.01,0.12
XOne,76,5.1,2017.0,Role-Playing,Electronic Arts  ,BioWare Corp.  ,,,0.5,0.2,,0.07,0.78
Wii,76,8.5,2008.0,Misc,Zoo Games  ,SuperVillain Studios  ,,,0.19,0.01,,0.02,0.21
PC,76,6.5,2014.0,Misc,Tribute Games  ,Unknown  ,,,,,,,
WiiU,76,8.3,2014.0,Action,Nintendo  ,Omega Force  ,7.4,,0.59,0.44,0.13,0.1,1.26
PS3,76,6.1,2007.0,Racing,THQ  ,Paradigm Entertainment  ,,,0.17,0.26,,0.1,0.52
PC,76,7.3,2013.0,Misc,Ubisoft  ,Unknown  ,,,,,,,
PS4,76,5.9,2020.0,Strategy,NIS America  ,Aqua Plus  ,,,,,,,
PC,76,7.4,2019.0,Action-Adventure,Attu Games  ,Attu Games  ,,,,,,,
PC,76,7.7,2011.0,Shooter,Sony Online Entertainment  ,Overkill Software  ,8.0,,,,,,
WiiU,76,7.1,2016.0,Action-Adventure,Nintendo  ,Intelligent Systems  ,7.4,6.4,0.35,0.37,0.08,0.06,0.87
PS3,76,7.8,2013.0,Action-Adventure,Warner Bros. Interactive Entertainment  ,Warner Bros. Interactive Entertainment  ,,,1.08,0.88,0.04,0.4,2.4
NS,76,7.5,2017.0,Action,Darkwind Media  ,Darkwind Media  ,,,,,,,
Wii,76,8.2,2009.0,Role-Playing,NIS America  ,Nippon Ichi Software  ,7.6,,0.12,,0.01,0.01,0.13
PS2,76,8.0,2004.0,Adventure,Konami  ,KCET  ,,,0.25,0.19,,0.06,0.51
PS2,76,6.4,2004.0,Sports,EA Sports  ,EA Canada  ,,,0.07,0.05,,0.02,0.14
XB,76,8.2,2003.0,Racing,Microsoft Game Studios  ,Digital Illusions  ,,,0.23,0.07,,0.01,0.3
PS2,76,8.3,2003.0,Racing,Atari  ,Atari  ,,,0.04,0.03,,0.01,0.08
GBA,76,7.6,2002.0,Adventure,Electronic Arts  ,Eurocom Entertainment Software  ,7.2,,1.21,0.64,0.05,0.09,1.99
PS2,76,8.4,2002.0,Role-Playing,THQ  ,Volition Inc.  ,,,0.1,0.08,,0.03,0.21
XB,76,7.5,2001.0,Sports,EA Sports  ,EA Canada  ,,,0.35,0.03,,0.02,0.4
PS3,76,7.6,2011.0,Action,LucasArts  ,Traveller's Tales  ,8.0,,0.52,0.47,,0.19,1.18
PS2,76,tbd,2007.0,Misc,Sony Computer Entertainment  ,Sony Computer Entertainment America  ,,,0.23,0.18,,0.06,0.46
PC,76,2.2,2018.0,Misc,Valve Corporation  ,Valve Corporation  ,,,,,,,
PS4,76,6.8,2016.0,Adventure,Campo Santo  ,Campo Santo  ,8.2,,,,,,
PC,76,4.3,2015.0,Sports,Konami Digital Entertainment  ,PES Productions  ,,,,0.04,,0.0,0.05
PC,76,4.6,2017.0,Role-Playing,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,
Wii,76,8.1,2006.0,Sports,Nintendo  ,Nintendo EAD  ,7.7,,41.36,29.02,3.77,8.51,82.65
PC,76,6.8,2005.0,Simulation,Electronic Arts  ,Maxis  ,7.5,,1.22,0.05,,,1.27
DS,76,tbd,2007.0,Misc,Konami  ,Konami  ,,,0.01,0.0,0.02,0.0,0.03
PC,76,3.9,2021.0,Shooter,Ubisoft  ,Ubisoft Toronto  ,,,,,,,
X360,76,7.8,2011.0,Shooter,THQ  ,Relic Entertainment  ,7.3,,0.25,0.26,,0.06,0.56
PS4,76,3.9,2020.0,Shooter,Bungie Software  ,Bungie  ,,,,,,,
PS2,76,8.1,2009.0,Strategy,KOEI  ,Koei  ,,,0.04,0.03,,0.01,0.09
X360,76,7.4,2008.0,Misc,Microsoft Game Studios  ,Krome Studios / Screenlife Games  ,7.6,,0.33,0.25,,0.07,0.65
NS,76,7.5,2019.0,Role-Playing,Kadokawa Games  ,Kadokawa Games  ,,,,,,,
PS2,76,8.8,2006.0,Role-Playing,Konami  ,Hudson Soft  ,7.9,,0.08,0.06,0.19,0.02,0.35
XB,76,tbd,2005.0,Fighting,SNK Playmore  ,SNK Playmore Corporation  ,,,0.02,0.01,,0.0,0.03
PC,76,7.7,2009.0,Strategy,Atari  ,Gas Powered Games  ,7.2,,,0.02,,0.0,0.02
WiiU,76,8.2,2014.0,Shooter,PhobosLab  ,PhobosLab  ,,,,,,,
XOne,76,5.6,2014.0,Action-Adventure,Konami Digital Entertainment  ,Kojima Productions  ,7.7,,0.13,0.13,,0.02,0.27
PSV,76,8.1,2014.0,Role-Playing,Namco Bandai Games  ,7thChord  ,,,0.11,0.12,0.09,0.07,0.38
NS,76,7.1,2017.0,Action,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.31,0.29,0.01,0.06,0.67
PC,76,7.7,2010.0,Adventure,Telltale Games  ,Telltale Games  ,,,,,,,
DS,76,tbd,2008.0,Puzzle,Midway Games  ,Midway Studios San Diego  ,,,0.3,0.49,,0.1,0.89
PSV,76,8.6,2017.0,Role-Playing,Idea Factory  ,Compile Heart  ,,,0.01,0.0,0.04,0.01,0.06
PS3,76,7.8,2010.0,Sports,Sony Computer Entertainment  ,SCE San Diego Studio  ,7.6,,2.15,1.13,0.1,0.5,3.88
Wii,76,8.4,2011.0,Platform,Unknown  ,Press Play  ,,,,0.03,,0.0,0.03
X360,76,6.8,2008.0,Adventure,Eidos Interactive  ,Crystal Dynamics  ,7.5,,0.53,0.42,0.01,0.11,1.07
XOne,76,6.8,2018.0,Simulation,Frontier Developments  ,Frontier Developments  ,,,0.15,0.09,,0.02,0.26
PC,76,7.2,2016.0,Simulation,SCS Software  ,SCS Software  ,,,,0.09,,0.01,0.09
NS,76,7.5,2018.0,Sports,MERJ Media  ,MERJ Media  ,,9.0,,,,,
Wii,76,8.2,2009.0,Action,Atari  ,Red Fly Studio  ,7.6,,0.59,0.21,,0.07,0.87
Wii,54,4.7,2009.0,Action,Atari  ,Red Fly Studio  ,7.6,,0.59,0.21,,0.07,0.87
XB,76,8.3,2003.0,Shooter,LucasArts  ,Vicarious Visions  ,,,0.34,0.1,,0.02,0.45
PS2,76,7.9,2005.0,Racing,Sony Computer Entertainment  ,Naughty Dog  ,,,0.45,0.02,,0.07,0.55
PS4,76,7.8,2021.0,Role-Playing,Atlus  ,Atlus  ,,,,,,,
PS3,76,6.5,2013.0,Shooter,Electronic Arts  ,Visceral Games  ,,,0.45,0.4,,0.17,1.02
PS4,76,6.4,2020.0,Action-Adventure,PlatinumGames  ,PlatinumGames  ,,,,,,,
PC,76,7.9,2018.0,Action-Adventure,Sega  ,Sega  ,,,,,,,
PC,76,7.6,2018.0,Racing,AQUIRIS  ,Aquiris Game Studio  ,,,,,,,
PS4,76,8.2,2017.0,Role-Playing,Namco Bandai Games  ,CyberConnect2  ,,,0.1,0.04,0.08,0.03,0.24
XOne,76,7.8,2017.0,Racing,505 Games  ,Nicalis  ,,,0.02,,,0.0,0.02
PS3,76,4.2,2013.0,Sports,Electronic Arts  ,EA Tiburon  ,7.5,,1.62,0.03,,0.38,2.04
Wii,76,8.7,2009.0,Action,Capcom  ,Capcom Production Studio 4  ,7.6,,0.16,0.04,0.08,0.02,0.3
PC,76,7.5,2005.0,Shooter,Namco  ,Rebellion Developments  ,7.4,,,0.01,,0.0,0.02
PS2,76,8.2,2003.0,Misc,Midway Games  ,Digital Eclipse  ,,,0.72,0.56,,0.19,1.46
GBA,76,8.1,2003.0,Role-Playing,Atlus  ,Atelier Double  ,,,0.04,0.01,,0.0,0.05
XB,76,7.9,2002.0,Shooter,Majesco  ,Terminal Reality  ,7.3,,0.16,0.05,,0.01,0.21
XB,76,8.3,2001.0,Simulation,LucasArts  ,Secret Level  ,,,0.3,0.1,,0.02,0.42
PS4,75,6.4,2020.0,Action,Ubisoft  ,Ubisoft  ,,,,,,,
PSP,75,7.8,2009.0,Role-Playing,Square Enix  ,TOSE Software  ,8.0,,0.14,0.02,0.16,0.02,0.34
PC,75,8.3,2010.0,Strategy,Paradox Interactive   ,Paradox Interactive  ,8.1,,,0.0,,0.0,0.0
PC,75,6.5,2012.0,Misc,thechineseroom  ,Unknown  ,,,,,,,
XB,75,8.3,2005.0,Action,Aspyr  ,Wideload Games  ,,,0.08,0.02,,0.0,0.11
DS,75,8.3,2011.0,Platform,THQ  ,Blue Tongue  ,7.5,9.0,0.08,0.02,,0.01,0.11
PS2,75,8.4,2006.0,Action,Electronic Arts  ,Headgate  ,,,0.89,0.03,0.01,0.15,1.09
XOne,75,8.1,2016.0,Platform,Electronic Arts  ,ColdWood Interactive  ,,,,,,,
XOne,75,7.4,2015.0,Action-Adventure,Nordic Games  ,Gunfire Games  ,7.5,,0.05,0.03,,0.01,0.08
NS,75,tbd,,Action-Adventure,Unknown  ,X Plus Company Limited  ,,,,,,,
PS4,75,7.2,2017.0,Action,WayForward Technologies  ,WayForward Technologies  ,,,,,,,
PC,75,7.1,2015.0,Strategy,League of Geeks  ,League of Geeks  ,,,,,,,
PSP,75,8.3,2006.0,Misc,Capcom  ,Capcom  ,7.1,,0.26,0.0,0.03,0.03,0.33
XOne,75,5.1,2020.0,Platform,WayForward  ,WayForward  ,,,,,,,
NS,75,7.6,,Platform,Unknown  ,Magic Design Studios  ,,9.0,,,,,
PS4,75,7.1,2017.0,Sports,Zen Studios  ,Zen Studios  ,,,,,,,
X360,75,7.7,2013.0,Fighting,2K Sports  ,Yuke's  ,7.6,,0.64,0.38,,0.1,1.12
NS,75,7.8,2019.0,Role-Playing,Idea Factory International  ,Compile Heart  ,,,,,,,
DS,75,6.6,2009.0,Puzzle,D3 Publisher  ,Infinite Interactive  ,,,0.15,0.0,,0.01,0.16
PS4,75,6.7,2017.0,Action,Sold Out  ,Team17 Software  ,,,0.04,0.16,,0.04,0.24
WiiU,75,6.8,2012.0,Sports,EA Sports  ,EA Tiburon  ,7.2,,0.21,,,0.02,0.23
DS,75,7.2,2007.0,Role-Playing,Square Enix  ,TOSE Software  ,7.6,,0.23,0.03,1.49,0.02,1.77
PC,75,6.4,2014.0,Misc,2K Games  ,Unknown  ,,,0.14,0.15,,0.03,0.32
Wii,75,7.6,2007.0,Shooter,Capcom  ,Cavia Inc.  ,7.5,8.0,0.67,0.43,0.29,0.14,1.52
PC,75,8.6,2020.0,Adventure,HypeTrain Digital  ,Morteshka  ,,,,,,,
PC,75,5.8,,Action-Adventure,Unknown  ,Stardock  ,,,,,,,
NS,75,7.7,2018.0,Platform,Image & Form Games  ,Image & Form Games  ,,,,,,,
PC,75,7.6,2011.0,Adventure,Rondomedia  ,Daedalic Entertainment  ,,,,0.07,,0.01,0.08
PS2,75,8.4,2006.0,Adventure,Sega  ,Sega  ,7.5,,0.03,0.02,0.74,0.01,0.8
PS2,75,8.3,2005.0,Shooter,Midway Games  ,Midway Studios Austin  ,7.7,,0.22,0.17,,0.06,0.45
PS4,75,6.9,2014.0,Misc,Triniti Interactive  ,Unknown  ,,,,,,,
PS4,75,7.3,2018.0,Action-Adventure,Square Enix  ,Eidos Montreal  ,,,0.59,0.82,0.06,0.27,1.74
PS5,75,7.2,,Adventure,Unknown  ,Bloober Team  ,,,,,,,
XOne,75,7.5,2019.0,Action,Bandai Namco Entertainment  ,Bandai Namco Studios  ,,,,,,,
NS,75,7.7,2017.0,Action,Namco Bandai Games  ,Dimps Corporation  ,8.0,,0.17,0.16,0.19,0.03,0.55
PC,75,5.2,2010.0,Sports,Electronic Arts  ,Electronic Arts  ,,,,0.0,,0.0,0.0
Wii,75,8.5,2009.0,Puzzle,Zoo Games  ,Empty Clip Studios  ,,,0.01,,,0.0,0.01
XB,75,tbd,2005.0,Platform,THQ  ,Avalanche Software  ,,,0.05,0.02,,0.0,0.07
PC,75,8.8,2003.0,Simulation,Encore  ,Ascaron Entertainment GmbH  ,8.2,,,,,,
PC,75,7.9,2003.0,Strategy,Gathering of Developers  ,FireFly Studios  ,,,,0.0,,0.0,0.0
PC,75,7.8,2003.0,Simulation,Gathering of Developers  ,Frog City Software  ,8.3,,,0.0,,0.0,0.0
XB,75,8.2,2002.0,Shooter,Gotham Games  ,Croteam  ,,,0.11,0.03,,0.01,0.15
XB,75,tbd,2002.0,Sports,Activision  ,Rainbow Studios  ,,,0.15,0.04,,0.01,0.2
GBA,75,tbd,2002.0,Misc,Atari  ,Digital Eclipse  ,7.7,,0.13,0.05,,0.0,0.18
DC,75,7.3,2001.0,Adventure,Infogrames  ,Darkworks  ,7.4,,,,,,
PS2,75,8.5,2001.0,Simulation,Agetec  ,From Software  ,,,0.11,0.08,0.19,0.03,0.41
X360,75,6.8,2006.0,Sports,2K Sports  ,Indie Built  ,7.7,,0.15,0.0,,0.01,0.17
XOne,75,7.6,2015.0,Shooter,Bethesda Softworks  ,MachineGames  ,8.0,,0.07,0.07,,0.01,0.15
PS4,75,7.2,2018.0,Adventure,DONTNOD Entertainment  ,DONTNOD Entertainment  ,,,,,,,
WiiU,75,7.4,2015.0,Adventure,Klei Entertainment  ,Klei Entertainment  ,,,,,,,
PC,75,7.5,2011.0,Role-Playing,Spiderweb Software   ,Spiderweb Software  ,,,,,,,
DS,75,7.8,2008.0,Shooter,Majesco  ,Shin'en GmbH  ,,,0.03,0.01,,0.0,0.05
X360,75,6.1,2005.0,Sports,2K Sports  ,Kush Games  ,7.3,,0.09,0.0,,0.01,0.1
PC,75,7.7,2002.0,Shooter,Electronic Arts  ,Westwood Studios  ,,5.0,,,,,
XOne,75,6.3,2018.0,Shooter,Rebellion Developments  ,Rebellion Developments  ,,,0.04,0.01,,0.01,0.05
PS4,75,7.6,2017.0,Shooter,SUPERHOT Team  ,SUPERHOT Team  ,,,,,,,
PS4,75,7.1,2019.0,Action-Adventure,Focus Home Interactive  ,DECK13 Interactive  ,,,,,,,
PC,75,7.7,2020.0,Platform,Another Indie  ,Glass Heart Games  ,,,,,,,
NS,75,7.5,2020.0,Racing,Nintendo  ,Velan Studios  ,,,,,,,
PC,75,8.5,,Role-Playing,Unknown  ,Lose  ,,,,,,,
XOne,75,6.8,2018.0,Shooter,Atari  ,Llamasoft  ,,,0.01,,,0.0,0.01
PC,75,7.0,2016.0,Action,Ubisoft  ,Ubisoft  ,,,,0.0,,0.0,0.0
PC,75,7.3,2016.0,Shooter,Tripwire Interactive  ,Tripwire Interactive  ,,,,,,,
Wii,75,7.8,2007.0,Strategy,Nintendo  ,Kuju Entertainment  ,7.7,,0.22,0.02,0.08,0.02,0.34
X360,75,7.4,2009.0,Action,Codemasters  ,Triumph Studios  ,,,0.15,0.14,,0.03,0.32
PS4,75,7.5,2014.0,Shooter,Electronic Arts  ,PopCap Games  ,,,0.24,0.3,0.01,0.11,0.66
NS,75,7.6,,Action-Adventure,Unknown  ,Red Blue Games  ,,,,,,,
PS4,75,3.6,2017.0,Sports,EA Sports  ,EA Canada  ,,,0.31,0.16,,0.1,0.57
PC,75,7.3,2013.0,Misc,Abbey Games  ,Unknown  ,,,,,,,
PS2,75,8.7,2007.0,Misc,Sony Computer Entertainment  ,Relentless Software  ,,,0.32,0.06,,0.5,0.88
PS2,75,8.3,2002.0,Action,Atlus  ,Pixel Arts  ,,,,,,,
NS,75,7.1,2018.0,Sports,Nintendo  ,Camelot Software Planning  ,7.8,,0.71,0.62,0.42,0.12,1.87
PS3,75,7.6,2007.0,Shooter,Electronic Arts  ,EA Los Angeles  ,,,0.25,0.7,0.03,0.24,1.21
3DS,75,8.3,2012.0,Role-Playing,Namco Bandai  ,Namco Tales Studio  ,7.3,,0.45,0.2,0.15,0.06,0.86
XB,75,6.6,2006.0,Sports,EA Sports  ,EA Montreal  ,7.6,,0.02,0.01,,0.0,0.03
X360,75,7.9,2012.0,Role-Playing,Capcom  ,Capcom  ,,,0.42,0.24,0.07,0.06,0.79
XB,75,8.0,2004.0,Adventure,Codemasters  ,Free Radical Design  ,7.8,,0.05,0.02,,0.0,0.07
PC,75,6.7,2011.0,Shooter,THQ  ,Volition Inc.  ,7.3,,0.05,0.02,,0.01,0.09
3DS,75,5.5,2012.0,Role-Playing,Nintendo  ,Intelligent Systems  ,,,1.12,0.49,0.64,0.15,2.41
PS3,75,7.1,2007.0,Racing,Sega  ,Sega Racing Studio  ,,,0.07,0.43,,0.14,0.63
PS4,75,7.3,2015.0,Action,Deep Silver  ,Volition Inc.  ,,,0.15,0.18,0.03,0.06,0.42
PS4,75,tbd,2020.0,Action,D3 Publisher  ,D3 Publisher  ,,,,,,,
PC,75,6.1,2020.0,Action,Ubisoft  ,Ubisoft  ,,,,,,,
NS,75,7.5,2018.0,Action-Adventure,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,7.8,,0.28,0.12,,0.04,0.44
PS4,75,5.8,2017.0,Music,Ubisoft  ,Ubisoft Paris  ,,,0.1,0.15,,0.05,0.3
PC,75,6.7,2010.0,Action,Ubisoft  ,Ubisoft Montreal  ,,,,0.03,,0.0,0.03
3DS,75,8.3,2012.0,Role-Playing,Square Enix  ,Square Enix  ,7.5,,0.88,0.27,0.34,0.1,1.6
NS,75,7.4,2020.0,Fighting,SNK  ,SNK Playmore  ,,,,,,,
Wii,75,6.1,2009.0,Sports,EA Sports  ,EA Canada  ,8.3,,0.23,0.64,,0.11,0.98
PC,75,6.9,2019.0,Adventure,StudioInkyfox  ,Jonas Manke  ,,,,,,,
PC,75,7.5,2016.0,Simulation,Double Damage Games  ,Double Damage Games  ,,,,,,,
PS2,75,8.2,2004.0,Sports,EA Sports  ,EA Canada  ,,,0.22,0.17,,0.06,0.45
PC,75,7.8,2004.0,Strategy,Ascaron Entertainment  ,Ascaron  ,,,,0.03,,0.01,0.04
GBA,75,8.3,2004.0,Platform,THQ  ,Rare Ltd.  ,,,0.02,0.01,,0.0,0.03
GBA,75,8.5,2003.0,Role-Playing,Atari  ,Webfoot Technologies  ,7.6,,0.78,0.29,,0.02,1.09
PS2,75,7.3,2000.0,Fighting,Midway Games  ,Midway Games  ,7.9,,0.4,0.31,,0.1,0.81
N64,75,7.5,1998.0,Shooter,Acclaim Entertainment  ,Iguana Entertainment  ,8.3,,0.23,0.06,,0.0,0.29
PC,75,7.7,2008.0,Shooter,Koch Media  ,GSC Game World  ,7.0,,0.0,0.03,,0.0,0.03
PS4,75,4.1,2018.0,Sports,EA Sports  ,EA Vancouver  ,,,0.4,0.41,0.01,0.16,0.97
PC,75,7.7,2015.0,Misc,Ubisoft Romania  ,Unknown  ,,,,,,,
PS3,75,7.8,2008.0,Sports,Electronic Arts  ,EA Canada  ,,,0.46,0.0,0.02,0.04,0.52
DS,75,8.4,2009.0,Platform,Nintendo  ,TOSE Software  ,7.1,,0.6,,0.2,0.05,0.85
PS3,75,6.3,2013.0,Misc,Disney Interactive Studios  ,Unknown  ,,,0.53,0.34,,0.18,1.05
PS4,75,7.3,,Action,Unknown  ,Koei Tecmo Games  ,,,,,,,
PC,75,7.7,2014.0,Misc,Zoo Games silver  ,Unknown  ,,,,,,,
X360,75,tbd,2009.0,Sports,Electronic Arts  ,EA Canada  ,,,0.3,,,0.03,0.32
PS2,75,8.3,2006.0,Fighting,Midway Games  ,Midway Games  ,7.4,,0.88,0.04,,0.14,1.06
PS4,75,6.5,2014.0,Adventure,Sony Computer Entertainment  ,Honeyslug  ,,,,,,,
XOne,75,7.3,2019.0,Shooter,Humble Bundle  ,Blue Manchu  ,,,,,,,
PC,75,7.0,2017.0,Role-Playing,Fatbot Games  ,Fatbot Games  ,,,,,,,
X360,75,7.8,2013.0,Shooter,Capcom  ,Capcom  ,7.4,,0.12,0.1,0.02,0.02,0.26
PS3,75,7.4,2006.0,Racing,Electronic Arts  ,EA Black Box  ,7.8,,0.49,0.51,0.03,0.2,1.24
PS4,75,7.4,2018.0,Misc,Sega  ,Sega  ,,,0.08,0.21,,0.05,0.35
PC,75,7.1,,Platform,Unknown  ,Swing Swing Submarine  ,,,,,,,
NS,75,7.5,2017.0,Action,WayForward Technologies  ,WayForward Technologies  ,,,,,,,
PSV,75,7.9,2013.0,Misc,Sony Computer Entertainment America  ,Sanzaru Games  ,,,0.13,0.07,,0.07,0.27
PSP,75,7.8,2010.0,Role-Playing,Atlus  ,Sting  ,8.0,,0.06,,0.02,0.01,0.09
PS3,75,7.7,2009.0,Sports,Electronic Arts  ,EA Canada  ,,,0.31,,,0.03,0.33
PS4,75,7.1,2016.0,Shooter,Tripwire Interactive  ,Tripwire Interactive  ,,,0.19,0.03,,0.05,0.27
XOne,75,5.1,2020.0,Action-Adventure,Perp Games  ,Firesprite  ,,,,,,,
PC,75,7.1,1970.0,Adventure,Unknown  ,Telltale Games  ,6.9,,,,,,
X360,75,7.2,2007.0,Racing,THQ  ,Paradigm Entertainment  ,,,0.25,0.31,,0.07,0.64
PS3,75,7.2,2008.0,Adventure,Eidos Interactive  ,Crystal Dynamics  ,7.8,,0.45,0.55,0.05,0.21,1.26
