,Platform,meta_score,meta_UserReview,Year,Publisher,Developer,vg_critic_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Sales,Action,Action-Adventure,Adventure,Board Game,Education,Fighting,MMO,Misc,Music,Party,Platform,Puzzle,Racing,Role-Playing,Sandbox,Shooter,Simulation,Sports,Strategy,Visual Novel
69,PS,94.0,8.8,2000,Square EA  ,SquareSoft  ,9.7,0.62,0.42,0.69,0.12,1.86,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
70,XOne,94.0,7.4,2018,Matt Makes Games Inc.  ,Matt Thorson  ,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
71,PS3,94.0,8.9,2008,2K Games  ,2K Boston / 2K Australia / 2K Marin  ,9.3,0.75,0.48,0.01,0.21,1.44,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72,PS3,94.0,8.7,2011,Electronic Arts  ,BioWare Edmonton  ,9.3,0.78,0.46,0.03,0.18,1.46,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
73,PC,94.0,8.8,2003,Rockstar Games  ,Rockstar North  ,9.0,0.0,0.03,0.0,0.0,0.04,0.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,PS2,94.0,8.3,2003,EA Sports  ,EA Tiburon  ,9.5,4.26,0.26,0.01,0.71,5.23,10.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
75,X360,94.0,8.4,2006,Microsoft Game Studios  ,Epic Games  ,9.4,3.54,1.88,0.07,0.6,6.09,12.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
76,X360,94.0,8.7,2009,Take-Two Interactive  ,Bethesda Softworks  ,9.2,2.89,1.03,0.13,0.41,4.47,8.93,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,PC,94.0,8.8,1996,Microprose  ,MPS Labs  ,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78,PC,94.0,8.8,1996,id Software  ,id Software  ,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
79,X360,94.0,8.5,2007,Activision  ,Infinity Ward  ,9.6,5.98,2.39,0.13,0.91,9.41,18.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80,PC,94.0,8.6,2013,2K Games  ,Irrational Games  ,,0.3,0.31,0.0,0.05,0.66,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,X360,94.0,8.1,2007,Microsoft Game Studios  ,Bungie Studios  ,9.6,7.97,2.81,0.13,1.21,12.13,24.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
82,XB,94.0,8.8,2005,Tecmo  ,Team Ninja  ,9.5,0.07,0.02,0.0,0.0,0.09,0.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,PC,94.0,8.2,2009,Take-Two Interactive  ,Bethesda Softworks  ,9.2,0.01,0.21,0.0,0.04,0.25,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
