Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,vg_user_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Sales
PS3,71.0,7.8,2014,Action,Namco Bandai Games  ,Omega Force  ,,,0.0,0.21,0.42,0.03,0.66,1.32
DS,71.0,6.8,2007,Misc,Ubisoft  ,Ubisoft Montreal  ,,,0.37,0.9,0.0,0.18,1.44,2.8899999999999997
PS4,71.0,7.5,2017,Shooter,Bethesda Softworks  ,id Software  ,,8.0,0.22,0.25,0.0,0.09,0.56,1.12
XOne,71.0,7.1,2016,Shooter,2K Games  ,Gearbox Software  ,,,0.2,0.05,0.0,0.03,0.28,0.56
PS2,71.0,7.1,2005,Role-Playing,Hot-B  ,Garakuta-Studio  ,7.2,,0.01,0.01,0.0,0.0,0.03,0.05
X360,71.0,7.6,2009,Adventure,LucasArts  ,Traveller's Tales  ,,,0.62,0.31,0.0,0.09,1.02,2.04
PC,71.0,5.7,2004,Simulation,Merscom LLC  ,City Interactive  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,71.0,5.6,2010,Platform,Press Play  ,Press Play  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS4,71.0,6.8,2017,Adventure,Vision Games  ,PaperSeven  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS2,71.0,8.3,2005,Shooter,Eidos Interactive  ,Deadline Games  ,,,0.04,0.04,0.0,0.01,0.09,0.18
PC,71.0,6.2,2018,Strategy,Junkfish Limited  ,Team Junkfish  ,,,0.0,0.0,0.0,0.0,0.0,0.0
3DS,71.0,7.7,2014,Simulation,Nintendo  ,Nintendo  ,7.8,,0.97,2.64,1.98,0.28,5.88,11.75
PSV,71.0,5.8,2015,Action,Gaijin Games Inc.  ,Gaijin Games Inc.  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,71.0,6.7,2013,Strategy,2K Games  ,Firaxis Games  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS2,71.0,7.9,2003,Action,Midway Games  ,Terminal Reality  ,,,0.08,0.07,0.0,0.02,0.17,0.34
PS2,71.0,8.5,2001,Strategy,KOEI  ,Koei  ,,,0.13,0.1,0.2,0.03,0.46,0.9200000000000002
PS,71.0,6.5,2001,Shooter,Namco  ,Flying Tiger Entertainment  ,,,0.03,0.02,0.0,0.0,0.05,0.1
X360,71.0,6.9,2011,Action,Deep Silver  ,Techland  ,7.0,,1.48,0.7,0.0,0.21,2.38,4.77
PS4,71.0,8.4,2019,Action-Adventure,Sony Interactive Entertainment  ,SIE Bend Studio  ,6.7,,0.0,0.0,0.0,0.0,0.0,0.0
PC,71.0,6.9,2014,Action,Team17 Software  ,Mouldy Toof Studios  ,,,0.0,0.01,0.0,0.0,0.01,0.02
XB,71.0,7.4,2005,Platform,Activision  ,Toys for Bob  ,6.8,,0.21,0.06,0.0,0.01,0.28,0.56
PC,71.0,5.8,2003,Role-Playing,LucasArts  ,Sony Online Entertainment  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS3,71.0,6.2,2009,Action,Sony Computer Entertainment  ,Idol Minds Digital  ,,,0.0,0.01,0.0,0.0,0.01,0.02
PS2,71.0,8.6,2005,Sports,EA Sports  ,HB Studios Multimedia  ,,,0.04,0.03,0.0,0.01,0.09,0.16999999999999998
NS,71.0,5.3,2019,Simulation,Team 17  ,Pathea Games  ,,,0.0,0.0,0.0,0.0,0.0,0.0
XOne,71.0,5.7,2018,Action,Neocore Games  ,Neocore Games  ,,,0.02,0.0,0.0,0.0,0.02,0.04
GBA,71.0,6.2,2005,Adventure,Electronic Arts  ,Magic Pockets  ,6.0,,0.44,0.16,0.0,0.01,0.61,1.22
XB,71.0,8.1,2005,Shooter,Eidos Interactive  ,Deadline Games  ,,,0.02,0.01,0.0,0.0,0.02,0.05
PS2,71.0,7.1,2004,Action,Atari  ,Stormfront Studios  ,,,0.1,0.08,0.0,0.03,0.2,0.41000000000000003
PS3,71.0,7.0,2009,Adventure,Capcom  ,GRIN  ,7.0,,0.12,0.17,0.01,0.06,0.36,0.72
PC,71.0,6.9,2005,Role-Playing,Got Game Entertainment  ,3D People  ,,,0.0,0.0,0.0,0.0,0.0,0.0
XB,71.0,7.9,2006,Action,Atari  ,"The Collective, Inc.  ",,,0.0,0.0,0.0,0.0,0.0,0.0
PC,71.0,6.5,2015,Misc,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,71.0,6.7,2014,Misc,Unknown  ,Unknown  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS3,71.0,7.4,2011,Shooter,THQ  ,Volition Inc.  ,7.0,,0.2,0.15,0.03,0.07,0.46,0.91
XB,71.0,4.5,2005,Action,Activision  ,Shaba Games  ,,,0.07,0.02,0.0,0.0,0.09,0.18
NS,71.0,7.1,2017,Action,Headup Games  ,Pixel Perfex  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS3,71.0,7.5,2012,Action,Capcom  ,CyberConnect2  ,,8.3,0.2,0.12,0.06,0.05,0.43,0.86
PC,71.0,7.0,2016,Action,Insomniac Games  ,Insomniac Games  ,,,0.06,0.0,0.0,0.01,0.07,0.14
XOne,71.0,6.6,2014,Role-Playing,Namco Bandai Games  ,DECK13 Interactive  ,,,0.1,0.1,0.0,0.02,0.22,0.44
PSV,71.0,8.0,2015,Action,Tecmo Koei  ,Omega Force  ,,,0.03,0.02,0.18,0.02,0.24,0.49
PS4,71.0,6.2,2015,Action,Team17 Software  ,Mouldy Toof Studios  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,71.0,7.7,2005,Strategy,Majesco  ,Team17 Software  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,71.0,7.1,2009,Strategy,Paradox Interactive   ,1C:Ino-Co  ,,,0.04,0.0,0.0,0.0,0.04,0.08
PS4,71.0,7.1,2016,Action,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.31,0.53,0.01,0.16,1.01,2.02
PC,71.0,8.6,2007,Sports,Codemasters  ,Codemasters  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,71.0,8.0,2002,Strategy,JoWood Productions  ,JoWood Productions  ,,,0.0,0.0,0.0,0.0,0.0,0.0
N64,71.0,7.4,2000,Racing,Nintendo  ,Rare Ltd.  ,,,0.37,0.08,0.14,0.01,0.6,1.2000000000000002
PS2,71.0,8.2,2002,Action,Sega  ,Overworks  ,,,0.36,0.28,0.22,0.09,0.96,1.91
PC,71.0,6.8,2006,Shooter,Electronic Arts  ,Digital Illusions  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS4,71.0,7.8,2019,Role-Playing,Idea Factory  ,Compile Heart  ,,,0.0,0.0,0.03,0.0,0.03,0.06
PC,71.0,7.5,2008,Adventure,Got Game Entertainment  ,Darkling Room  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS4,71.0,6.3,2015,Fighting,Sony Computer Entertainment  ,Capcom  ,,,0.0,0.08,0.0,0.01,0.1,0.19
PC,71.0,7.3,2014,Role-Playing,Ubisoft  ,Ubisoft  ,,,0.0,0.03,0.0,0.0,0.04,0.07
PS4,71.0,5.8,2020,Role-Playing,Koei Tecmo  ,Gust  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS3,71.0,7.5,2007,Platform,Electronic Arts  ,EA Redwood Shores  ,7.5,,0.38,0.36,0.0,0.14,0.89,1.77
PC,71.0,5.7,2014,MMO,Bethesda Softworks  ,ZeniMax Online Studios  ,,,0.35,0.59,0.0,0.08,1.02,2.04
PC,71.0,7.2,2017,Puzzle,Sumo Digital  ,Sumo Digital  ,,,0.0,0.0,0.0,0.0,0.0,0.0
XB,71.0,8.0,2005,Racing,Empire Interactive  ,Bugbear Entertainment  ,,,0.12,0.04,0.0,0.01,0.17,0.34
X360,71.0,6.2,2009,Misc,Activision  ,Neversoft Entertainment  ,7.1,,0.23,0.15,0.0,0.04,0.42,0.84
DS,71.0,5.8,2007,Puzzle,Midway Games  ,Midway Studios San Diego  ,6.9,,0.48,1.27,0.0,0.24,2.0,3.99
PS2,71.0,8.7,2006,Racing,THQ  ,Rainbow Studios  ,,,1.01,0.04,0.0,0.16,1.21,2.42
PS2,54.0,2.8,2006,Racing,THQ  ,Rainbow Studios  ,,,1.01,0.04,0.0,0.16,1.21,2.42
PS4,71.0,7.1,2016,Action,Maximum Games  ,Lince Works  ,,,0.03,0.0,0.0,0.01,0.04,0.08
X360,71.0,5.3,2012,Sports,EA Sports  ,EA Sports  ,,,0.1,0.06,0.0,0.02,0.18,0.36
XB,71.0,8.8,2004,Shooter,Majesco  ,Terminal Reality  ,,,0.11,0.03,0.0,0.01,0.15,0.30000000000000004
PC,71.0,5.2,2012,Shooter,Ubisoft  ,Ubisoft Paris  ,,,0.05,0.1,0.0,0.02,0.17,0.34
DS,71.0,8.2,2007,Sports,EA Sports  ,EA Tiburon  ,,,0.24,0.0,0.0,0.02,0.26,0.52
PS4,71.0,5.5,2018,Racing,U&I Entertainment  ,Caged Element  ,,,0.01,0.0,0.0,0.0,0.01,0.02
PSV,71.0,7.1,2012,Shooter,Sony Computer Entertainment  ,Zipper Interactive  ,,,0.25,0.15,0.04,0.09,0.53,1.06
WiiU,71.0,6.3,2013,Puzzle,Warner Bros. Interactive Entertainment  ,5TH Cell  ,,,0.09,0.0,0.0,0.01,0.1,0.2
WiiU,71.0,7.4,2012,Shooter,Shin'en Multimedia  ,Shin'en Multimedia  ,6.5,,0.0,0.0,0.0,0.0,0.0,0.0
XB,71.0,6.5,2004,Action,KOEI  ,Omega Force  ,,,0.05,0.02,0.0,0.0,0.07,0.14
PS2,71.0,8.5,2001,Fighting,Activision  ,Eighting / Raizing  ,,,0.15,0.11,0.05,0.04,0.35,0.7
PS4,71.0,8.1,2017,Shooter,Sony Interactive Entertainment  ,Impulse Gear  ,,,0.0,0.38,0.04,0.06,0.48,0.96
NS,71.0,7.9,2020,Shooter,Crunching Koalas  ,Buckshot Software  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,71.0,7.8,2019,Role-Playing,Bandai Namco Entertainment  ,Tom Create  ,,,0.0,0.0,0.0,0.0,0.0,0.0
NS,71.0,7.2,2018,Misc,NIS America  ,Arc System Works  ,8.5,,0.01,0.0,0.0,0.0,0.01,0.02
NS,71.0,6.7,2018,Simulation,Headup Games  ,ClockStone  ,,,0.0,0.0,0.0,0.0,0.0,0.0
NS,71.0,6.8,2017,Action,Humble Hearts  ,Humble Hearts  ,,,0.0,0.0,0.0,0.0,0.0,0.0
NS,71.0,4.6,2017,Adventure,Tequila Works  ,Tequila Works  ,,,0.0,0.0,0.0,0.0,0.0,0.0
NS,71.0,6.9,2017,Puzzle,Tomorrow Corporation  ,Tomorrow Corporation  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS4,71.0,6.0,2016,Action,Eclipse Games  ,Eclipse Games  ,,,0.0,0.0,0.0,0.0,0.0,0.0
3DS,71.0,7.2,2013,Misc,Nicalis  ,Unknown  ,,,0.0,0.0,0.0,0.0,0.0,0.0
X360,71.0,7.4,2012,Sports,Microsoft Studios  ,Sumo Digital  ,,,0.02,0.01,0.0,0.0,0.04,0.07
PSP,71.0,8.5,2011,Adventure,Xseed Games  ,Team GrisGris  ,,,0.0,0.0,0.05,0.0,0.05,0.1
X360,71.0,6.9,2007,Shooter,Ubisoft  ,Techland  ,6.9,,0.14,0.02,0.0,0.01,0.18,0.35
PC,71.0,8.7,2006,Strategy,Electronic Arts  ,EA Los Angeles\ Westwood Studios  ,,,0.01,0.01,0.0,0.0,0.02,0.04
XB,71.0,8.2,2003,Sports,Microsoft Game Studios  ,High Voltage Software  ,,,0.13,0.04,0.0,0.01,0.17,0.35000000000000003
XB,71.0,6.6,2003,Sports,Midway Games  ,Point of View  ,,,0.04,0.01,0.0,0.0,0.05,0.1
GBA,71.0,7.4,2002,Action,TDK Mediactive  ,TOSE  ,,,0.47,0.17,0.0,0.01,0.66,1.31
PS2,71.0,7.6,2002,Sports,Sega  ,Visual Concepts  ,,,0.0,0.0,0.0,0.0,0.0,0.0
XB,71.0,7.2,2002,Shooter,Electronic Arts  ,EA Redwood Shores  ,,,0.65,0.22,0.0,0.03,0.9,1.8
PS2,71.0,5.3,2001,Racing,LucasArts  ,Lucas Learning  ,,,0.08,0.06,0.0,0.02,0.16,0.32
PC,71.0,7.7,2000,Strategy,SSI  ,"Strategic Simulations, Inc.  ",,,0.0,0.0,0.0,0.0,0.0,0.0
PS3,71.0,6.2,2008,Racing,Activision  ,Eutechnyx  ,,,0.0,0.03,0.0,0.01,0.04,0.08
PS3,71.0,6.2,2008,Racing,Activision  ,Eutechnyx  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS4,71.0,7.3,2018,Misc,Farm 51  ,Unknown  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS2,71.0,6.3,2002,Action,Rockstar Games  ,VIS Entertainment  ,8.0,,0.86,0.67,0.0,0.22,1.76,3.51
PSV,71.0,8.1,2016,Role-Playing,NIS America  ,Experience Inc.  ,,,0.04,0.01,0.0,0.02,0.06,0.13
PS4,71.0,7.4,2019,Role-Playing,Bandai Namco Entertainment  ,Bandai Namco Studios  ,,,0.0,0.0,0.19,0.0,0.19,0.38
3DS,71.0,7.1,2011,Action,THQ  ,THQ  ,7.0,,0.15,0.06,0.0,0.02,0.23,0.45999999999999996
PS2,71.0,6.7,2008,Misc,Activision  ,BudCat Creations  ,,,0.61,0.0,0.0,0.18,0.79,1.58
PS4,71.0,6.3,2014,Racing,Sony Computer Entertainment  ,Evolution Studios  ,7.2,,0.37,1.63,0.02,0.36,2.37,4.75
PC,71.0,8.1,2004,Simulation,Matrix Games   ,Destroyer Studios  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS4,71.0,6.0,2018,Puzzle,Ubisoft  ,Ubisoft Montreal  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS2,71.0,8.3,2004,Platform,Electronic Arts  ,Krome Studios  ,7.3,,0.26,0.2,0.0,0.07,0.53,1.06
PS4,71.0,6.9,2017,Role-Playing,Idea Factory International  ,Compile Heart  ,,,0.06,0.0,0.07,0.01,0.14,0.28
3DS,71.0,6.7,2011,Action-Adventure,Warner Bros. Interactive  ,TT Fusion  ,,,0.18,0.19,0.0,0.03,0.41,0.81
NS,71.0,7.3,2021,Action-Adventure,Graffiti  ,Robi Studios  ,,,0.0,0.0,0.0,0.0,0.0,0.0
NS,71.0,8.5,2020,Role-Playing,PQube  ,"LIME TURTLE, INC.  ",,,0.0,0.0,0.0,0.0,0.0,0.0
PS3,71.0,6.6,2008,Action,Konami  ,Double Helix Games  ,7.4,,0.18,0.15,0.0,0.06,0.39,0.78
XOne,71.0,8.4,2018,Action,Capcom  ,Capcom  ,,,0.04,0.0,0.0,0.0,0.04,0.08
XB,71.0,8.2,2004,Adventure,Namco  ,Namco  ,,,0.09,0.03,0.0,0.0,0.12,0.24
PS2,71.0,8.8,2003,Platform,THQ  ,Heavy Iron Studios  ,5.8,,1.08,0.45,0.0,0.14,1.67,3.34
PC,71.0,7.1,2003,Adventure,VU Games  ,Starbreeze Studios  ,,,0.0,0.0,0.0,0.0,0.0,0.0
XB,71.0,7.0,2003,Role-Playing,DreamCatcher Interactive  ,Arkane Studios  ,,,0.04,0.01,0.0,0.0,0.05,0.1
DS,71.0,8.2,2008,Misc,Activision  ,Vicarious Visions  ,7.1,8.1,2.1,1.01,0.01,0.35,3.46,6.93
DS,71.0,7.0,2006,Platform,Activision  ,Vicarious Visions  ,7.1,,0.24,0.01,0.0,0.02,0.28,0.55
PS4,71.0,6.6,2018,Action-Adventure,Ubisoft  ,Ubisoft  ,,,0.0,0.13,0.01,0.02,0.15,0.31
PC,71.0,7.5,2011,Misc,Viva Media  ,InterWave Studios  ,,,0.0,0.0,0.0,0.0,0.0,0.0
3DS,71.0,7.1,2011,Action,Disney Interactive Studios  ,TT Fusion  ,7.0,,0.29,0.28,0.0,0.06,0.63,1.2600000000000002
PC,71.0,5.6,2009,Role-Playing,Frogster Interactive   ,Runewalker Entertainment Ltd.  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,71.0,7.0,2008,Adventure,DreamCatcher Interactive  ,Frogwares  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PSV,71.0,7.3,2012,Puzzle,Sony Computer Entertainment  ,Fun Bits  ,,,0.0,0.0,0.0,0.0,0.0,0.0
X360,71.0,6.3,2009,Shooter,THQ  ,Swordfish Studios  ,7.3,,0.12,0.07,0.0,0.02,0.21,0.42
PS4,71.0,6.3,2017,Role-Playing,505 Games  ,Keen Games  ,,,0.02,0.05,0.03,0.01,0.12,0.22999999999999998
NS,71.0,7.2,2017,Action,Crunching Koalas  ,Lichthund  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS3,71.0,7.1,2007,Racing,THQ  ,Juice Games  ,,,0.18,0.04,0.01,0.02,0.25,0.5
PS2,71.0,7.9,2005,Shooter,SNK Playmore  ,BrezzaSoft  ,,,0.05,0.04,0.0,0.01,0.11,0.21
DS,71.0,7.5,2007,Fighting,Atlus  ,Dimps Corporation  ,,,0.09,0.0,0.0,0.01,0.1,0.2
NS,71.0,6.4,2017,Party,Undercoders  ,Rising Star Games  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS2,71.0,8.0,2006,Strategy,THQ  ,Pandemic Studios  ,5.5,,0.03,0.02,0.0,0.01,0.07,0.13
3DS,71.0,6.0,2013,Action-Adventure,Namco Bandai Games  ,Namco Bandai Games  ,8.0,,0.08,0.02,0.04,0.01,0.16,0.31000000000000005
NS,71.0,7.9,2020,Action,Proletariat Inc.  ,Proletariat Inc.  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,71.0,7.6,2007,Shooter,Sierra Entertainment  ,Saber Interactive  ,,,0.01,0.0,0.0,0.0,0.01,0.02
X360,71.0,7.4,2007,Sports,2K Sports  ,Kush Games  ,,,0.11,0.01,0.0,0.01,0.13,0.26
PS2,71.0,8.3,2004,Platform,THQ  ,Avalanche Software  ,,,0.3,0.24,0.0,0.08,0.62,1.24
XOne,71.0,8.1,2016,Action-Adventure,FDG Entertainment  ,Cornfox & Brothers  ,,,0.0,0.0,0.0,0.0,0.0,0.0
XB,71.0,8.0,2005,Action,Ubisoft  ,Darkworks  ,,,0.05,0.01,0.0,0.0,0.06,0.12
PS4,71.0,6.8,2016,Shooter,Sony Interactive Entertainment  ,CCP  ,,,0.11,0.06,0.0,0.04,0.21,0.42
PC,71.0,7.8,2020,Action-Adventure,THQ Nordic  ,Black Forest Games  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,71.0,7.2,2010,Strategy,Paradox Interactive   ,Neocore Games  ,6.3,,0.0,0.01,0.0,0.0,0.01,0.02
PC,71.0,6.8,2005,Strategy,Enlight  ,Egosoft  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS4,71.0,7.4,2018,Puzzle,Rooster Teeth Games  ,TheMeatly Games  ,,,0.15,0.0,0.0,0.03,0.18,0.36
PC,71.0,7.1,2016,Action,Lince Works  ,Lince Works  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,71.0,7.6,2014,Misc,Unknown  ,Unknown  ,,,0.0,0.0,0.0,0.0,0.0,0.0
X360,71.0,8.1,2012,Action,Tecmo Koei  ,Omega Force  ,,,0.09,0.03,0.03,0.01,0.16,0.32
PS2,71.0,5.5,2003,Strategy,KOEI  ,Koei  ,,,0.04,0.03,0.0,0.01,0.08,0.16
PC,71.0,6.8,2001,Sports,EA Sports  ,EA Sports  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,71.0,8.1,2001,Shooter,Sierra Entertainment  ,Gearbox Software  ,6.7,,0.0,0.0,0.0,0.0,0.0,0.0
DC,71.0,8.0,2000,Platform,Ubisoft  ,Disney Interactive Studios  ,7.2,,0.0,0.0,0.0,0.0,0.0,0.0
PC,71.0,7.9,2001,Racing,EON Digital Entertainment  ,Techland  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS4,71.0,6.9,2015,Action,Mike Bithell Games  ,Mike Bithell Games  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,71.0,7.1,2015,Strategy,Focus Home Interactive  ,Eugen Systems  ,,,0.0,0.01,0.0,0.0,0.01,0.02
X360,71.0,7.2,2009,Misc,Warner Bros. Interactive  ,TT Games / Harmonix Music Systems  ,7.3,,0.4,0.11,0.0,0.05,0.56,1.12
DS,71.0,8.7,2010,Role-Playing,Square Enix  ,Matrix Software  ,7.2,,0.22,0.1,0.23,0.03,0.58,1.1600000000000001
X360,71.0,7.3,2008,Action,Sierra Entertainment  ,High Moon Studios  ,,,0.26,0.13,0.0,0.04,0.44,0.87
PS2,71.0,8.6,2002,Role-Playing,Ubisoft  ,Game Arts  ,7.4,,0.14,0.11,0.0,0.04,0.29,0.58
PS4,71.0,5.7,2020,Platform,WayForward  ,WayForward  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS4,71.0,5.9,2015,Action,Ubisoft  ,Ubisoft Montpellier  ,7.5,,0.0,0.04,0.01,0.01,0.07,0.13
PS2,71.0,8.5,2006,Shooter,Eidos Interactive  ,Rebellion Developments  ,,,0.02,0.02,0.0,0.01,0.04,0.09
PC,71.0,7.2,2005,Adventure,The Adventure Company  ,Kheops Studio  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS2,71.0,8.1,2007,Simulation,Electronic Arts  ,Maxis  ,,,0.3,0.01,0.0,0.05,0.37,0.73
PS4,71.0,6.7,2019,Puzzle,Iceberg Interactive  ,Shifting Tides  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,71.0,7.7,2015,Strategy,Aterdux Entertainment  ,Aterdux Entertainment  ,,,0.0,0.0,0.0,0.0,0.0,0.0
XB,71.0,1.7,2006,Strategy,LucasArts  ,Frontier Developments  ,,,0.0,0.0,0.0,0.0,0.0,0.0
NS,71.0,7.4,2019,Action-Adventure,Capcom  ,Capcom  ,,,0.0,0.0,0.01,0.0,0.01,0.02
3DS,71.0,7.6,2011,Simulation,Namco Bandai  ,Namco Bandai Games  ,7.0,,0.1,0.06,0.08,0.01,0.25,0.5
XB,71.0,7.3,2005,Shooter,Majesco  ,Artech Studios  ,,,0.04,0.01,0.0,0.0,0.05,0.1
X360,71.0,6.3,2008,Fighting,Aksys Games  ,Arc System Works  ,7.0,8.0,0.07,0.0,0.01,0.01,0.09,0.18
PS3,71.0,6.2,2011,Role-Playing,Square Enix  ,Obsidian Entertainment  ,7.3,,0.17,0.13,0.03,0.06,0.39,0.78
PS3,71.0,5.9,2010,Sports,EA Sports  ,EA Tiburon  ,,,0.22,0.12,0.0,0.06,0.4,0.8
NS,71.0,7.6,2020,Sports,Bandai Namco Entertainment  ,Tamsoft  ,,,0.0,0.0,0.0,0.0,0.0,0.0
Wii,71.0,8.2,2009,Action,Konami  ,Loose Cannon Studios  ,,,0.09,0.0,0.0,0.01,0.1,0.2
PC,71.0,7.5,2014,Strategy,Slitherine  ,Slitherine  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS3,71.0,6.2,2012,Misc,Disney Interactive Studios  ,Unknown  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS2,71.0,8.2,2004,Action,Capcom  ,Capcom Production Studio 1  ,7.1,,0.54,0.35,0.46,0.1,1.45,2.9000000000000004
XB,71.0,7.3,2003,Racing,Codemasters  ,Brain in a Jar  ,,,0.04,0.01,0.0,0.0,0.05,0.1
GBA,71.0,8.1,2002,Misc,Nintendo  ,Nintendo  ,6.4,,0.43,0.16,0.0,0.01,0.61,1.21
PC,71.0,7.5,2002,Strategy,Microsoft Game Studios  ,Blue Fang Games  ,6.1,,0.0,0.0,0.0,0.0,0.0,0.0
XB,71.0,7.6,2001,Shooter,Microsoft  ,Stormfront Studios  ,,,0.43,0.12,0.0,0.02,0.57,1.1400000000000001
N64,71.0,7.5,2001,Puzzle,Nintendo  ,Newcom  ,6.0,,0.34,0.07,0.0,0.0,0.42,0.8300000000000001
PC,71.0,6.9,2008,Role-Playing,CDV Software Entertainment  ,Ascaron Entertainment  ,,,0.0,0.05,0.0,0.01,0.06,0.12
DS,71.0,7.8,2009,Role-Playing,Marvelous Interactive  ,Matrix Software  ,7.1,,0.11,0.0,0.12,0.01,0.24,0.48
PC,71.0,6.8,2004,Adventure,The Adventure Company  ,Detalion  ,,,0.0,0.0,0.0,0.0,0.0,0.0
XOne,71.0,7.6,2020,Shooter,Electronic Arts  ,Final Strike Games  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS3,71.0,2.8,2013,Shooter,Activision  ,Infinity Ward  ,7.5,,4.11,4.01,0.39,1.62,10.13,20.260000000000005
PC,71.0,6.6,2002,Simulation,LucasArts  ,LucasArts  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS3,71.0,7.2,2015,Role-Playing,Atlus  ,Lancarse  ,,,0.06,0.01,0.0,0.01,0.08,0.15999999999999998
PS3,71.0,7.0,2012,Misc,Vblank Entertainment Inc.  ,Unknown  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,71.0,6.6,2018,Simulation,Humble Bundle  ,Weather Factory  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS4,71.0,7.1,2014,Action-Adventure,Warner Bros. Interactive Entertainment  ,TT Fusion  ,6.0,,0.26,0.32,0.01,0.11,0.71,1.4100000000000001
DS,71.0,7.3,2005,Puzzle,Namco  ,Namco  ,6.8,,0.16,0.0,0.1,0.01,0.27,0.54
X360,71.0,7.3,2008,Misc,Microsoft Game Studios  ,iNiS  ,7.1,,0.12,0.56,0.0,0.1,0.77,1.55
Wii,71.0,7.8,2010,Action,LucasArts  ,LucasArts  ,7.5,,0.53,0.19,0.0,0.06,0.78,1.56
DS,71.0,7.8,2006,Role-Playing,Namco Bandai  ,Namco Bandai Games America  ,,,0.09,0.0,0.0,0.01,0.1,0.2
PS4,71.0,6.3,2013,Misc,Sony Computer Entertainment  ,HumaNature Studios  ,,,0.0,0.0,0.0,0.0,0.0,0.0
XB,71.0,5.7,2006,Sports,2K Sports  ,Kush Games  ,7.3,,0.24,0.07,0.0,0.01,0.33,0.65
PC,71.0,7.0,2013,Strategy,KING Art Games  ,KING Art Games  ,,,0.0,0.01,0.0,0.0,0.01,0.02
PSP,71.0,7.4,2010,Simulation,Namco Bandai  ,Project ACES  ,7.0,,0.06,0.05,0.15,0.03,0.29,0.5800000000000001
GBA,71.0,8.0,2001,Puzzle,Midway Games  ,Ninai Games  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PSP,71.0,8.0,2011,Action,D3 Publisher  ,Shift  ,7.1,,0.03,0.0,0.62,0.0,0.66,1.31
PS4,71.0,4.9,2017,Role-Playing,Electronic Arts  ,BioWare Corp.  ,,,0.58,0.67,0.0,0.25,1.49,2.99
PS2,71.0,8.2,2005,Strategy,KOEI  ,Koei  ,,,0.04,0.03,0.0,0.01,0.09,0.16999999999999998
PC,71.0,5.9,2019,Action-Adventure,Bigben Interactive  ,Frogwares  ,,,0.0,0.0,0.0,0.0,0.0,0.0
Wii,71.0,8.0,2008,Platform,Eidos Interactive  ,Backbone Entertainment  ,7.3,,0.1,0.0,0.0,0.01,0.11,0.22
XB,71.0,7.9,2005,Action,Electronic Arts  ,EA Redwood Shores  ,,,0.15,0.04,0.0,0.01,0.2,0.4
NS,71.0,7.4,2018,Puzzle,Perfect Hat  ,Perfect Hat  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,71.0,7.7,2016,Simulation,Astragon  ,Urban Games  ,,,0.0,0.06,0.0,0.0,0.06,0.12
XB,71.0,8.5,2006,Shooter,Eidos Interactive  ,Rebellion Developments  ,,,0.01,0.0,0.0,0.0,0.02,0.03
