Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,vg_user_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Sales
PS2,94.0,9.1,2006,Action,Konami  ,Kojima Productions  ,9.4,,0.34,0.01,0.15,0.06,0.55,1.11
X360,94.0,6.6,2009,Shooter,Activision  ,Infinity Ward  ,9.5,9.0,8.54,3.63,0.08,1.28,13.53,27.059999999999995
PS3,94.0,8.8,2008,Action,Konami  ,Kojima Productions  ,9.3,9.8,2.63,1.72,0.83,0.81,6.0,11.99
PS2,94.0,8.3,2003,Sports,Electronic Arts  ,EA Tiburon  ,8.1,,1.35,0.09,0.0,0.23,1.67,3.34
PS2,94.0,8.9,2005,Action,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,9.3,,2.71,1.29,0.02,0.43,4.45,8.899999999999999
XB,94.0,9.1,2003,Role-Playing,LucasArts  ,BioWare Corp.  ,9.4,10.0,1.68,0.44,0.0,0.08,2.19,4.390000000000001
PC,94.0,8.2,2005,Strategy,2K Games  ,Firaxis Games  ,9.4,,0.02,0.12,0.0,0.02,0.16,0.31999999999999995
PS2,94.0,8.1,2002,Fighting,Sega  ,Sega-AM2  ,9.3,,0.78,0.44,0.56,0.04,1.81,3.63
N64,94.0,9.1,1996,Platform,Nintendo  ,Nintendo EAD  ,9.7,9.2,6.91,2.85,1.91,0.23,11.89,23.79
PC,93.0,9.4,2015,Role-Playing,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,,,0.29,0.55,0.0,0.07,0.91,1.8200000000000003
PS2,93.0,9.0,2004,Racing,Electronic Arts  ,Criterion Games  ,9.3,,1.23,1.11,0.0,0.34,2.68,5.359999999999999
Wii,93.0,8.8,2008,Fighting,Nintendo  ,Project Sora  ,9.2,9.7,6.64,2.57,2.67,1.03,12.91,25.82
PC,93.0,8.7,2006,Strategy,THQ  ,Relic  ,9.4,,0.0,0.04,0.0,0.0,0.04,0.08
PS,93.0,9.0,1999,Racing,Sony Computer Entertainment  ,Polyphony Digital  ,9.2,,3.88,3.42,1.69,0.5,9.49,18.98
PS4,93.0,5.7,2020,Action,Sony Interactive Entertainment  ,Naughty Dog  ,,,0.0,0.0,0.0,0.0,0.0,0.0
DS,93.0,8.3,2009,Adventure,Rockstar Games  ,Rockstar Leeds/North  ,9.5,9.6,0.58,0.56,0.05,0.14,1.33,2.66
PS,93.0,8.6,1999,Fighting,Capcom  ,Capcom  ,8.4,,0.38,0.12,0.51,0.02,1.03,2.06
NS,93.0,9.0,2020,Action,Supergiant Games  ,Supergiant Games  ,,,0.0,0.0,0.0,0.0,0.0,0.0
XB,93.0,7.7,2002,Sports,Activision  ,Neversoft Entertainment  ,,,0.34,0.18,0.0,0.02,0.55,1.09
PC,93.0,9.2,2020,Action,Valve  ,Valve  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,93.0,8.8,2004,Shooter,Atari  ,Epic Games  ,9.4,,0.0,0.02,0.0,0.0,0.02,0.04
X360,93.0,8.6,2013,Shooter,2K Games  ,Irrational Games  ,,,1.22,0.55,0.02,0.18,1.97,3.94
NS,93.0,8.7,2020,Platform,iam8bit  ,Moon Studios  ,,9.7,0.0,0.0,0.0,0.0,0.0,0.0
PS2,93.0,9.0,2007,Action,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,9.3,9.8,2.32,0.04,0.04,1.67,4.07,8.14
WiiU,93.0,8.9,2013,Platform,Nintendo  ,Nintendo EAD Tokyo  ,9.5,,2.31,1.54,0.79,0.37,5.01,10.02
PS2,93.0,8.1,2000,Sports,EA Sports BIG   ,EA Canada  ,,,0.78,0.61,0.06,0.2,1.66,3.31
