Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
50969,Top Gear 3000,SNES,1995,Racing,Kemco  ,Gremlin Interactive  ,,,,,,,
50970,Top Gear Pocket,GB,1999,Racing,Vatical Entertainment  ,Kemco  ,,,,,,,
50971,Top Gear Pocket 2,GB,2000,Racing,Kemco  ,Vision Works  ,,,,,,,
50972,Top Gear: Race The Stig,And,2014,Misc,BBC Worldwide  ,Unknown  ,,,,,,,
50973,Top Gear: Race The Stig,WinP,2014,Misc,BBC Worldwide  ,Unknown  ,,,,,,,
50974,Top Gun,NES,1987,Simulation,Konami  ,Konami  ,,,,,,,
50975,Top Gun,PS2,2007,Simulation,Blast! Entertainment Ltd  ,Atomic Planet Entertainment  ,,,,,,,
50976,Top Gun,PC,1987,Simulation,Thunder Mountain  ,Ocean Software  ,,,,,,,
50977,Top Gun,PSN,2010,Action,Paramount Digital Entertainment  ,Doublesix  ,,,,,,,
50978,Top Gun (2010),PC,N/A,Action,Unknown  ,Doublesix  ,,,,,,,
50979,Top Gun (PSP),PSN,2011,Action,Paramount Digital Entertainment  ,Doublesix  ,,,,,,,
50980,Top Gun: Combat Zones,PC,2003,Simulation,Titus  ,Digital Integration  ,,,,,,,
50981,Top Gun: Fire at Will!,PC,1995,Simulation,Spectrum Holobyte  ,Spectrum Holobyte  ,,,,,,,
50982,Top Gun: Firestorm,GB,2001,Simulation,Titus  ,Fluid Studios  ,,,,,,,
50983,Top Gun: Guts and Glory,GB,1993,Simulation,Konami  ,Distinctive Software  ,,,,,,,
50984,Top Gun: Hard Lock,PC,2012,Action,505 Games  ,Headstrong Games  ,,,,,,,
50985,Top Gun: Hornet's Nest,PC,1998,Simulation,Atari  ,Zipper Interactive  ,,,,,,,
50986,Top Gun: The Second Mission,NES,1990,Simulation,Konami  ,Konami  ,,,,,,,
50987,Top Hand Rodeo Tour,PSN,N/A,Sports,Unknown  ,SFC Rodeo Games  ,,,,,,,
50988,Top Hat,PC,2014,Action,Unknown  ,Unknown  ,,,,,,,
50989,Top Hunter,NG,1994,Platform,SNK  ,SNK Corporation  ,,,,,,,
50990,Top Hunter: Roddy & Cathy,VC,2007,Platform,D4 Enterprise  ,SNK Corporation  ,,,,,,,
50991,Top Hunter: Roddy & Cathy (CD),NG,1994,Platform,SNK  ,SNK Corporation  ,,,,,,,
50992,Top Model Academy,DS,N/A,Simulation,Unknown  ,SevenGames  ,,,,,,,
50993,Top Players Tennis,NES,1990,Sports,Asmik Corp  ,"Asmik Ace Entertainment, Inc  ",,,,,,,
50994,Top Rank Tennis,GB,1993,Sports,Nintendo  ,Pax Softonica  ,,,,,,,
50995,Top Shot: Dinosaur Hunter,Wii,2011,Shooter,Activision  ,Activision  ,,,,,,,
50996,Top Ski Racing 2014,And,2014,Misc,Azerbo  ,Unknown  ,,,,,,,
50997,Top Spin,PC,2004,Sports,Atari  ,Pam Development  ,,,,,,,
50998,Top Striker,NES,1992,Sports,Namco  ,Namco  ,,,,,,,
50999,Top Trumps NBA All Stars,DS,2012,Sports,Mojang  ,Conspiracy Entertainment  ,,,,,,,
51000,Top Trumps NBA All Stars,3DS,2012,Sports,Mojang  ,Conspiracy Entertainment  ,,,,,,,
