fill,Name,Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,Global_Sales
3106,Zombi,PS4,71,5.9,2015,Action,Ubisoft  ,Ubisoft Montpellier  ,7.5,70000.0
3107,Rogue Trooper,PS2,71,8.5,2006,Shooter,Eidos Interactive  ,Rebellion Developments  ,,40000.0
3108,Space Bust-A-Move,DS,71,0.0,2009,Puzzle,Square Enix  ,Lancarse  ,,130000.0
3109,The Sims 2: Castaway,PS2,71,8.1,2007,Simulation,Electronic Arts  ,Maxis  ,,370000.0
3110,Onimusha: Warlords,NS,71,7.4,2019,Action-Adventure,Capcom  ,Capcom  ,,10000.0
3111,Ace Combat: Assault Horizon Legacy,3DS,71,7.6,2011,Simulation,Namco Bandai  ,Namco Bandai Games  ,7.0,250000.0
3112,Raze's Hell,XB,71,7.3,2005,Shooter,Majesco  ,Artech Studios  ,,50000.0
3113,Battle Fantasia,X360,71,6.3,2008,Fighting,Aksys Games  ,Arc System Works  ,7.0,90000.0
3114,Dungeon Siege III,PS3,71,6.2,2011,Role-Playing,Square Enix  ,Obsidian Entertainment  ,7.3,390000.0
3115,NBA Jam,PS3,71,5.9,2010,Sports,EA Sports  ,EA Tiburon  ,,400000.0
3116,Tornado Outbreak,Wii,71,8.2,2009,Action,Konami  ,Loose Cannon Studios  ,,100000.0
3117,IndyCar Series,XB,71,7.3,2003,Racing,Codemasters  ,Brain in a Jar  ,,50000.0
3118,Game & Watch Gallery 4,GBA,71,8.1,2002,Misc,Nintendo  ,Nintendo  ,6.4,610000.0
3119,Blood Wake,XB,71,7.6,2001,Shooter,Microsoft  ,Stormfront Studios  ,,570000.0
3120,Dark Summit,XB,71,0.0,2001,Sports,THQ  ,Radical Entertainment  ,,100000.0
3121,Dr. Mario 64,N64,71,7.5,2001,Puzzle,Nintendo  ,Newcom  ,6.0,420000.0
3122,F1 Championship Season 2000,PS2,71,0.0,2000,Racing,Electronic Arts  ,EA Sports  ,,160000.0
3123,F1 Championship Season 2000,PS2,71,0.0,2000,Racing,EA Sports  ,Visual Science  ,,30000.0
3124,Sacred 2: Fallen Angel,PC,71,6.9,2008,Role-Playing,CDV Software Entertainment  ,Ascaron Entertainment  ,,60000.0
3125,Avalon Code,DS,71,7.8,2009,Role-Playing,Marvelous Interactive  ,Matrix Software  ,7.1,240000.0
3126,Lost Dimension,PS3,71,7.2,2015,Role-Playing,Atlus  ,Lancarse  ,,80000.0
3127,The LEGO Movie Videogame,PS4,71,7.1,2014,Action-Adventure,Warner Bros. Interactive Entertainment  ,TT Fusion  ,6.0,710000.0
3128,Pac-Pix,DS,71,7.3,2005,Puzzle,Namco  ,Namco  ,6.8,270000.0
3129,Lips,X360,71,7.3,2008,Misc,Microsoft Game Studios  ,iNiS  ,7.1,770000.0
3130,Star Wars: The Force Unleashed II,Wii,71,7.8,2010,Action,LucasArts  ,LucasArts  ,7.5,780000.0
3131,Digimon World DS,DS,71,7.8,2006,Role-Playing,Namco Bandai  ,Namco Bandai Games America  ,,100000.0
3132,Madden NFL 06,GBA,71,0.0,2005,Sports,EA Sports  ,Exient Entertainment  ,,230000.0
3133,Major League Baseball 2K6,XB,71,5.7,2006,Sports,2K Sports  ,Kush Games  ,7.3,330000.0
3134,Battle Worlds: Kronos,PC,71,7.0,2013,Strategy,KING Art Games  ,KING Art Games  ,,10000.0
3135,Ace Combat: Joint Assault,PSP,71,7.4,2010,Simulation,Namco Bandai  ,Project ACES  ,7.0,290000.0
3136,Gods Eater Burst,PSP,71,8.0,2011,Action,D3 Publisher  ,Shift  ,7.1,660000.0
3137,Romance of the Three Kingdoms X,PS2,71,8.2,2005,Strategy,KOEI  ,Koei  ,,90000.0
3138,Death Jr.: Root of Evil,Wii,71,8.0,2008,Platform,Eidos Interactive  ,Backbone Entertainment  ,7.3,110000.0
3139,From Russia With Love,XB,71,7.9,2005,Action,Electronic Arts  ,EA Redwood Shores  ,,200000.0
3140,Transport Fever,PC,71,7.7,2016,Simulation,Astragon  ,Urban Games  ,,60000.0
3141,Rogue Trooper,XB,71,8.5,2006,Shooter,Eidos Interactive  ,Rebellion Developments  ,,20000.0
