,Name,Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,vg_user_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
3201,Cities in Motion,PC,70.0,7.7,2011,Simulation,Paradox Interactive   ,Colossal Order  ,,,0.0,0.2,0.0,0.1,0.22360679774997896
3202,100 Classic Books,DS,70.0,6.5,2010,Misc,Nintendo  ,Genius Sonority Inc.  ,4.0,,0.34641016151377546,0.7211102550927979,0.0,0.1414213562373095,0.8185352771872451
3203,Enthusia Professional Racing,PS2,70.0,7.5,2005,Racing,Konami  ,Konami  ,,,0.2645751311064591,0.2449489742783178,0.0,0.1414213562373095,0.3872983346207417
3204,Sorcery,PS3,70.0,7.4,2012,Action-Adventure,Sony Computer Entertainment  ,The Workshop  ,,,0.37416573867739417,0.33166247903553997,0.0,0.22360679774997896,0.5477225575051661
3205,FlatOut,PS2,70.0,8.1,2005,Racing,Empire Interactive  ,Bugbear Entertainment  ,,,0.43588989435406733,0.3872983346207417,0.0,0.22360679774997896,0.6164414002968976
3206,Let's TAP,Wii,70.0,6.8,2009,Misc,Sega  ,PROPE  ,7.0,,0.282842712474619,0.2449489742783178,0.1,0.1414213562373095,0.41231056256176607
3207,Kenka Bancho: Badass Rumble,PSP,70.0,7.5,2009,Action,Atlus  ,Spike  ,7.0,,0.2645751311064591,0.0,0.4472135954999579,0.1,0.5385164807134504
3208,Dungeon Maker: Hunting Ground,PSP,70.0,6.4,2007,Role-Playing,Xseed Games  ,Global A Entertainment  ,,,0.17320508075688773,0.0,0.0,0.0,0.17320508075688773
3209,LEGO Rock Band,Wii,70.0,6.9,2009,Misc,Warner Bros. Interactive  ,TT Games / Harmonix Music Systems  ,6.8,,0.6403124237432849,0.469041575982343,0.0,0.2449489742783178,0.8366600265340756
3210,Brink,PC,70.0,6.0,2011,Shooter,Bethesda Softworks  ,Splash Damage  ,7.0,,0.2449489742783178,0.3,0.0,0.17320508075688773,0.4242640687119285
3211,LEGO Jurassic World,XOne,70.0,6.8,2015,Action,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.6633249580710799,0.5196152422706632,0.0,0.2645751311064591,0.8831760866327847
3212,Need for Speed: ProStreet,PC,70.0,6.4,2007,Racing,Electronic Arts  ,EA Black Box  ,,,0.0,0.2,0.0,0.0,0.2
3213,Major League Baseball 2K6,PS2,70.0,5.2,2006,Sports,2K Sports  ,Kush Games  ,7.3,,0.6082762530298219,0.1,0.0,0.2449489742783178,0.6633249580710799
3214,Thrillville: Off the Rails,Wii,70.0,3.2,2007,Strategy,LucasArts  ,Frontier Developments  ,,,0.6164414002968976,0.1414213562373095,0.0,0.17320508075688773,0.6633249580710799
3215,Bendy and the Ink Machine,XOne,70.0,7.6,2018,Puzzle,Rooster Teeth Games  ,TheMeatly Games  ,,,0.37416573867739417,0.0,0.0,0.1414213562373095,0.4
3216,Tom Clancy's Rainbow Six: Lockdown,PS2,70.0,6.9,2005,Shooter,Ubisoft  ,Red Storm Entertainment  ,,,0.41231056256176607,0.36055512754639896,0.0,0.2,0.5916079783099616
3217,The Sims 3: Generations,PC,70.0,3.8,2011,Simulation,Electronic Arts  ,The Sims Studio  ,6.5,,0.6324555320336759,0.47958315233127197,0.0,0.0,0.7937253933193772
3218,F1 Career Challenge,PS2,70.0,7.9,2003,Racing,EA Sports  ,Visual Science  ,,,0.22360679774997896,0.2,0.0,0.1,0.31622776601683794
3219,Wing Commander: Prophecy,GBA,70.0,8.3,2003,Simulation,"Destination Software, Inc  ",Raylight Studios  ,,,0.2,0.1,0.0,0.0,0.22360679774997896
3220,Dante's Inferno,PSP,70.0,8.1,2010,Action,Electronic Arts  ,Visceral Games  ,6.6,,0.34641016151377546,0.2,0.1,0.1414213562373095,0.4472135954999579
3221,Rabbids Go Home,DS,70.0,5.8,2009,Platform,Ubisoft  ,Ubisoft Montpellier  ,8.8,,0.5916079783099616,0.5477225575051661,0.0,0.2645751311064591,0.848528137423857
3222,Hot Shots Tennis,PS2,70.0,8.1,2007,Sports,Sony Computer Entertainment  ,Clap Hanz  ,,,0.41231056256176607,0.36055512754639896,0.7416198487095663,0.22360679774997896,0.9486832980505138
3223,Hyrule Warriors Legends,3DS,70.0,7.5,2016,Action,Nintendo  ,Omega Force  ,,,0.41231056256176607,0.4,0.34641016151377546,0.17320508075688773,0.7
3224,LEGO Jurassic World,PS4,70.0,7.1,2015,Action,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.6403124237432849,0.7483314773547883,0.1414213562373095,0.43588989435406733,1.0862780491200215
3225,Nobunaga's Ambition: Taishi,PS4,70.0,6.9,2018,Strategy,Koei Tecmo  ,Koei Tecmo Games  ,,,0.1,0.0,0.22360679774997896,0.0,0.2449489742783178
3226,Full Auto,X360,70.0,7.7,2006,Racing,Sega  ,Pseudo Interactive  ,7.0,,0.43588989435406733,0.1,0.0,0.1414213562373095,0.469041575982343
3227,The Kore Gang,Wii,70.0,8.4,2011,Platform,Atari  ,SnapDragon Games  ,,,0.2,0.0,0.0,0.0,0.2
3228,NHL 2K9,PS3,70.0,6.8,2008,Sports,2K Sports  ,Visual Concepts  ,,,0.33166247903553997,0.1,0.0,0.1,0.36055512754639896
3229,NASCAR Kart Racing,Wii,70.0,8.1,2009,Racing,EA Sports  ,Electronic Arts North Carolina  ,,,0.6244997998398398,0.0,0.0,0.17320508075688773,0.648074069840786
3230,Madden NFL 07,DS,70.0,6.5,2006,Sports,EA Sports  ,Exient Entertainment  ,6.9,,0.4472135954999579,0.0,0.0,0.1414213562373095,0.458257569495584
3231,Warriors Orochi 3,PS3,70.0,7.9,2012,Action,Tecmo Koei  ,Omega Force  ,,,0.0,0.2,0.7549834435270749,0.1,0.7874007874011811
3232,The Legend of Kage 2,DS,70.0,7.3,2008,Action,Taito  ,Taito Corporation  ,,,0.2645751311064591,0.0,0.0,0.1,0.282842712474619
3233,Tom Clancy's HAWX,PC,70.0,7.2,2009,Action,Ubisoft  ,Ubisoft Romania  ,,,0.0,0.17320508075688773,0.0,0.1,0.2
3234,The Urbz: Sims in the City,XB,70.0,6.5,2004,Simulation,Electronic Arts  ,Maxis  ,,,0.469041575982343,0.33166247903553997,0.0,0.1,0.5830951894845301
3235,GripShift,PSP,70.0,8.5,2005,Racing,Sony Computer Entertainment  ,Sidhe Interactive  ,7.1,,0.282842712474619,0.0,0.0,0.1,0.3
3236,My Hero One's Justice,NS,70.0,7.7,2018,Fighting,Bandai Namco Entertainment  ,Byking  ,,,0.41231056256176607,0.1,0.2449489742783178,0.1414213562373095,0.5099019513592785
3237,God Wars The Complete Legend,NS,70.0,6.8,2018,Strategy,NIS America  ,Kadokawa Games  ,,,0.1,0.0,0.1,0.0,0.17320508075688773
3238,Naruto Shippuden: Ultimate Ninja Storm Trilogy,NS,70.0,7.9,2018,Fighting,Bandai Namco Games  ,CyberConnect2  ,7.5,,0.0,0.0,0.17320508075688773,0.0,0.17320508075688773
3239,WRC 7,XOne,70.0,6.1,2017,Racing,Bigben Interactive  ,Kylotonn Entertainment  ,,,0.2,0.0,0.0,0.1,0.22360679774997896
3240,Mario vs. Donkey Kong: Tipping Stars,3DS,70.0,7.4,2015,Puzzle,Nintendo  ,Nintendo Software Technology Corporation  ,6.5,,0.0,0.0,0.282842712474619,0.0,0.282842712474619
3241,Inazuma Eleven 3: Team Ogre Attacks!,3DS,70.0,7.4,2014,Role-Playing,Nintendo  ,Level 5  ,,,0.0,0.17320508075688773,0.0,0.0,0.17320508075688773
3242,Rogue Trooper: Quartz Zone Massacre,Wii,70.0,8.2,2009,Shooter,Graffiti  ,Rebellion Developments  ,8.0,,0.2449489742783178,0.0,0.0,0.1,0.2645751311064591
3243,Need for Speed: Nitro,DS,70.0,6.1,2009,Racing,Electronic Arts  ,EA Montreal  ,7.2,,0.458257569495584,0.36055512754639896,0.0,0.2,0.6164414002968976
3244,Major League Baseball 2K8,X360,70.0,5.9,2008,Sports,2K Sports  ,Kush Games  ,,,0.7483314773547883,0.0,0.0,0.22360679774997896,0.7810249675906654
3245,Nobunaga's Ambition: Rise to Power,PS2,70.0,7.8,2008,Strategy,KOEI  ,Koei  ,,,0.0,0.0,0.282842712474619,0.0,0.282842712474619
3246,Naruto: Ultimate Ninja Heroes,PSP,70.0,6.3,2007,Fighting,Namco Bandai  ,CyberConnect2  ,7.0,,0.5099019513592785,0.0,0.0,0.0,0.5099019513592785
3247,Pirates of the Caribbean: Dead Man's Chest,GBA,70.0,6.4,2006,Adventure,Buena Vista  ,Amaze Entertainment  ,,,0.5744562646538028,0.34641016151377546,0.0,0.1,0.6855654600401044
3248,Crash Nitro Kart,XB,70.0,7.7,2003,Racing,VU Games  ,Vicarious Visions  ,,,0.4898979485566356,0.2645751311064591,0.0,0.1,0.5567764362830022
3249,Lollipop Chainsaw,X360,70.0,7.0,2012,Action,Warner Bros. Interactive Entertainment  ,Grasshopper Manufacture  ,,,0.5567764362830022,0.34641016151377546,0.1414213562373095,0.2,0.6928203230275509
