,Name,Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
5720,Yomawari: The Long Night Collection,NS,73.0,7.2,2018,Action-Adventure,NIS America  ,Nippon Ichi Software  ,,0.2,0.0,0.1,0.0,0.22360679774997896
5721,LBX: Little Battlers eXperience,3DS,73.0,7.4,2015,Action,Nintendo  ,Level 5  ,7.0,0.0,0.0,0.458257569495584,0.0,0.458257569495584
5722,God of War Collection,PSV,73.0,7.8,2014,Action,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,,0.31622776601683794,0.2645751311064591,0.1414213562373095,0.22360679774997896,0.4898979485566356
5723,The Lord of the Rings: The Third Age,PS2,73.0,8.0,2004,Role-Playing,Electronic Arts  ,EA Redwood Shores  ,,0.7,0.1414213562373095,0.0,0.282842712474619,0.7615773105863908
5724,Classic NES Series: Zelda II: The Adventure of Link,GBA,73.0,7.3,2004,Adventure,Nintendo  ,Nintendo EAD  ,6.6,0.6082762530298219,0.37416573867739417,0.41231056256176607,0.1,0.8366600265340756
5728,WWE Road to WrestleMania X8,GBA,73.0,7.5,2002,Fighting,THQ  ,Natsume  ,,0.43588989435406733,0.2645751311064591,0.0,0.0,0.5196152422706632
5732,Excite Truck,Wii,72.0,8.4,2006,Racing,Nintendo  ,Monster Games Inc.  ,7.0,0.6244997998398398,0.17320508075688773,0.282842712474619,0.2,0.7280109889280518
5733,F.E.A.R.,PS3,72.0,7.6,2007,Shooter,Vivendi Games  ,Day 1 Studios  ,,0.4242640687119285,0.5196152422706632,0.0,0.3,0.7348469228349535
5734,Capcom Classics Collection Remixed,PSP,72.0,6.3,2006,Misc,Capcom  ,Digital Eclipse  ,7.7,0.5196152422706632,0.0,0.0,0.1414213562373095,0.5477225575051661
5735,Styx: Shards of Darkness,PS4,72.0,7.2,2017,Action,Focus Home Interactive  ,Cyanide Studio  ,,0.2449489742783178,0.0,0.0,0.1,0.2645751311064591
5738,Wii Fit U,WiiU,72.0,7.8,2014,Misc,Nintendo  ,Nintendo  ,7.2,0.5916079783099616,0.4898979485566356,0.458257569495584,0.2449489742783178,0.9273618495495703
5739,Ridge Racer Unbounded,PS3,72.0,6.1,2012,Racing,Namco Bandai Games  ,Bugbear Entertainment  ,,0.22360679774997896,0.3,0.0,0.17320508075688773,0.41231056256176607
5740,Majesty 2: The Fantasy Kingdom Sim,PC,72.0,7.2,2009,Strategy,Paradox Interactive   ,Ino-Co / 1C Company  ,,0.1,0.0,0.0,0.0,0.1414213562373095
5741,Brothers In Arms DS,DS,72.0,8.1,2007,Shooter,Ubisoft  ,Gearbox Software  ,,0.17320508075688773,0.0,0.0,0.0,0.2
5743,Harvest Moon: Frantic Farming,DS,72.0,6.3,2009,Puzzle,Natsume  ,Natsume  ,7.0,0.282842712474619,0.1,0.0,0.1,0.31622776601683794
5744,Serious Sam II,XB,72.0,6.5,2005,Shooter,2K Games  ,Croteam  ,,0.22360679774997896,0.1,0.0,0.0,0.2449489742783178
5745,Urban Chaos: Riot Response,XB,72.0,8.3,2006,Shooter,Eidos Interactive  ,Rocksteady Studios  ,,0.1,0.0,0.0,0.0,0.1414213562373095
5746,UEFA Champions League 2006-2007,X360,72.0,8.2,2007,Sports,EA Sports  ,EA Canada  ,,0.2,0.1,0.0,0.0,0.22360679774997896
5747,Persona 5: Dancing in Starlight,PS4,72.0,6.2,2018,Music,Atlus  ,Atlus  ,,0.17320508075688773,0.0,0.17320508075688773,0.1,0.2449489742783178
5748,Medal of Honor: European Assault,XB,72.0,7.1,2005,Shooter,Electronic Arts  ,EA Los Angeles  ,,0.565685424949238,0.43588989435406733,0.0,0.1414213562373095,0.7280109889280518
5749,Bujingai: The Forsaken City,PS2,72.0,7.9,2004,Fighting,BAM! Entertainment  ,RED Entertainment  ,,0.22360679774997896,0.2,0.0,0.1,0.31622776601683794
5752,Castlevania: Lords of Shadow - Mirror of Fate,3DS,72.0,7.2,2013,Action-Adventure,Konami Digital Entertainment  ,Mercury Steam  ,7.2,0.2,0.282842712474619,0.17320508075688773,0.1,0.4
5753,Dead Rising 4,XOne,72.0,4.8,2016,Action-Adventure,Microsoft Studios  ,Capcom  ,,0.6403124237432849,0.5,0.0,0.2449489742783178,0.8544003745317531
5756,Broken Sword 5: The Serpent's Curse,PS4,72.0,7.3,2019,Adventure,Unbalance  ,Revolution Software  ,,0.0,0.2449489742783178,0.0,0.1,0.2645751311064591
5757,Alpha Protocol,PC,72.0,7.5,2010,Role-Playing,Sega  ,Obsidian Entertainment  ,,0.0,0.17320508075688773,0.0,0.1,0.17320508075688773
5759,The Surge,PC,72.0,6.7,2017,Action,Focus Home Interactive  ,DECK13 Interactive  ,,0.0,0.1,0.0,0.0,0.1
5761,Need for Speed Underground 2,GBA,72.0,7.8,2004,Racing,Electronic Arts  ,Pocketeers  ,,0.5567764362830022,0.34641016151377546,0.0,0.1,0.6557438524302001
5762,Siren,PS2,72.0,7.9,2003,Adventure,Sony Computer Entertainment  ,SCE Japan Studio  ,,0.3,0.2645751311064591,0.0,0.1414213562373095,0.4242640687119285
5764,Buffy the Vampire Slayer: Chaos Bleeds,PS2,72.0,8.8,2003,Action,VU Games  ,Eurocom Entertainment Software  ,,0.3,0.2645751311064591,0.0,0.1414213562373095,0.4242640687119285
5765,X2: Wolverine's Revenge,GBA,72.0,7.0,2003,Platform,Activision  ,Vicarious Visions  ,7.7,0.37416573867739417,0.22360679774997896,0.0,0.0,0.4472135954999579
5766,Impossible Creatures,PC,72.0,7.9,2002,Strategy,Microsoft Game Studios  ,Relic  ,,0.0,0.1,0.0,0.0,0.1
5767,NBA Inside Drive 2003,XB,72.0,7.6,2002,Sports,Microsoft Game Studios  ,High Voltage Software  ,,0.47958315233127197,0.2645751311064591,0.0,0.1,0.5567764362830022
5769,Looney Tunes: Sheep Raider,PS,72.0,8.6,2001,Platform,Infogrames  ,Infogrames  ,,0.2645751311064591,0.22360679774997896,0.0,0.1,0.34641016151377546
5773,Tricky Towers,PS4,72.0,6.9,2017,Puzzle,Soedesco  ,WeirdBeard  ,,0.1414213562373095,0.0,0.0,0.0,0.1414213562373095
5774,Remember Me,PS3,72.0,7.3,2013,Action,Capcom  ,DONTNOD Entertainment  ,,0.31622776601683794,0.4242640687119285,0.0,0.22360679774997896,0.5830951894845301
5775,Serious Sam 3: BFE,PC,72.0,8.1,2011,Shooter,Devolver Digital  ,Croteam  ,7.0,0.1,0.22360679774997896,0.0,0.1,0.282842712474619
5776,WWE SmackDown vs. Raw 2009,PSP,72.0,6.5,2008,Fighting,THQ  ,Yuke's Media Creations  ,7.9,0.6403124237432849,0.4472135954999579,0.0,0.37416573867739417,0.8660254037844386
5778,Bully: Scholarship Edition,PC,72.0,7.6,2008,Action,Rockstar Games  ,Rockstar Vancouver/Mad Doc Software  ,6.6,0.0,0.1414213562373095,0.0,0.0,0.17320508075688773
5779,Final Fantasy Type-0 HD,PS4,72.0,7.5,2015,Role-Playing,Square Enix  ,Square Enix  ,,0.6324555320336759,0.5744562646538028,0.4,0.3872983346207417,1.019803902718557
5780,Order Up!!,3DS,72.0,6.5,2012,Action,Ignition Entertainment  ,SuperVillain Studios  ,,0.0,0.1,0.0,0.0,0.1
5782,DC Universe Online,PC,72.0,6.7,2011,MMO,Sony Online Entertainment  ,WBIE  ,7.0,0.4,0.2449489742783178,0.0,0.1414213562373095,0.47958315233127197
5785,NBA 2K8,PS2,72.0,6.0,2007,Sports,2K Sports  ,Visual Concepts  ,,0.7071067811865476,0.1414213562373095,0.0,0.282842712474619,0.7745966692414834
5787,Race Pro,X360,72.0,7.1,2009,Racing,Atari  ,SimBin  ,,0.2449489742783178,0.3,0.0,0.1414213562373095,0.41231056256176607
5788,Anno 2205,PC,72.0,6.1,2015,Strategy,Ubisoft  ,Blue Byte  ,,0.2,0.41231056256176607,0.0,0.1414213562373095,0.47958315233127197
5789,NBA 06,PSP,72.0,5.4,2005,Sports,Sony Computer Entertainment  ,SCE San Diego Studio  ,7.2,0.4472135954999579,0.0,0.0,0.1414213562373095,0.469041575982343
5790,Lost Dimension,PSV,72.0,7.8,2015,Role-Playing,Atlus  ,Lancarse  ,,0.2,0.1414213562373095,0.1414213562373095,0.1414213562373095,0.31622776601683794
5794,Just Dance 2014,WiiU,72.0,7.7,2013,Music,Ubisoft  ,Ubisoft Paris  ,7.5,0.5830951894845301,0.5,0.0,0.2449489742783178,0.8
5796,Ridge Racer Unbounded,PC,72.0,6.1,2012,Racing,Namco Bandai Games  ,Bugbear Entertainment  ,,0.0,0.1414213562373095,0.0,0.0,0.1414213562373095
5797,Overlord: Raising Hell,PS3,72.0,7.8,2008,Adventure,Codemasters  ,4J Studios  ,,0.2645751311064591,0.2,0.0,0.1414213562373095,0.34641016151377546
5798,Ys: The Ark of Napishtim,PS2,72.0,8.8,2005,Role-Playing,Konami  ,Konami Software Shanghai  ,7.4,0.2645751311064591,0.22360679774997896,0.0,0.1414213562373095,0.36055512754639896
5799,Samurai Warriors: Xtreme Legends,PS2,72.0,8.7,2004,Action,KOEI  ,Omega Force  ,,0.2,0.17320508075688773,0.6,0.1,0.6708203932499369
5800,Front Mission,DS,72.0,7.4,2007,Strategy,Square Enix  ,Square Enix  ,,0.1,0.0,0.17320508075688773,0.0,0.2
5801,Thrillville,PSP,72.0,2.9,2006,Strategy,LucasArts  ,Frontier Developments  ,7.4,0.4242640687119285,0.0,0.0,0.1414213562373095,0.4472135954999579
5802,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",XB,72.0,6.4,2005,Adventure,Buena Vista  ,Traveller's Tales  ,,0.3872983346207417,0.2,0.0,0.1,0.4472135954999579
5803,Tokobot,PSP,72.0,7.1,2005,Platform,Tecmo  ,Tecmo  ,,0.2449489742783178,0.0,0.0,0.0,0.2449489742783178
5805,NASCAR The Game: Inside Line,X360,72.0,4.0,2012,Racing,Activision  ,Eutechnyx  ,,0.3,0.0,0.0,0.1,0.33166247903553997
5807,Commandos 3: Destination Berlin,PC,72.0,7.6,2003,Strategy,Eidos Interactive  ,Pyro Studios  ,,0.0,0.1414213562373095,0.0,0.0,0.1414213562373095
5809,Spider-Man,N64,72.0,7.3,2000,Action,Activision  ,Edge of Reality  ,,0.6557438524302001,0.3,0.0,0.1,0.7280109889280518
