fill,Name,Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,Global_Sales
2802,Endless Ocean,Wii,72.0,8.3,2008,Adventure,Nintendo  ,Arika  ,6.8,1060000.0
2803,Star Wars Battlefront,PC,72.0,3.6,2004,Shooter,LucasArts  ,Pandemic Studios  ,,240000.0
2804,Test Drive: Eve of Destruction,XB,72.0,8.8,2004,Racing,Atari  ,Monster Games Inc.  ,,90000.0
2805,Sword of Mana,GBA,72.0,8.4,2003,Role-Playing,Nintendo  ,Brownie Brown  ,,740000.0
2806,NFL Blitz 20-03,XB,72.0,7.8,2002,Sports,Midway Games  ,Point of View  ,,140000.0
2807,Silpheed: The Lost Planet,PS2,72.0,7.8,2001,Shooter,Working Designs  ,"Treasure Co., Ltd.  ",,70000.0
2808,Super Dragon Ball Z,PS2,72.0,6.6,2006,Fighting,Atari  ,Crafts & Meister  ,,370000.0
2809,Sudeki,XB,72.0,8.3,2004,Role-Playing,Microsoft Game Studios  ,Climax Group  ,,190000.0
2810,Amped 3,X360,72.0,7.2,2005,Sports,2K Sports  ,2K Sports  ,7.2,160000.0
2811,NBA Live 18,XOne,72.0,5.2,2017,Sports,EA Sports  ,EA Sports  ,,210000.0
2812,Dementium: The Ward,DS,72.0,7.9,2007,Shooter,Gamecock  ,Renegade Kid  ,7.5,170000.0
2813,Prinny: Can I Really Be the Hero?,PSP,72.0,8.1,2009,Platform,NIS America  ,Nippon Ichi Software  ,7.2,110000.0
2814,Zombi,XOne,72.0,6.3,2016,Action,Ubisoft  ,Ubisoft Montpellier  ,,10000.0
2815,The Saboteur,PS3,72.0,8.0,2009,Action,Electronic Arts  ,Pandemic Studios  ,7.1,480000.0
2816,Area 51,XB,72.0,7.7,2005,Shooter,Midway Games  ,Midway Studios  Austin  ,,290000.0
2817,LEGO Jurassic World,PC,72.0,7.4,2015,Action,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,40000.0
2818,Kingdom of Paradise,PSP,72.0,7.5,2005,Role-Playing,Sony Computer Entertainment  ,Climax Entertainment  ,7.0,150000.0
2819,WWE SmackDown vs. Raw 2011,Wii,72.0,7.7,2010,Fighting,THQ  ,JAKKS Pacific  ,,460000.0
2820,Theme Park,DS,72.0,7.6,2007,Simulation,Electronic Arts  ,EA Japan Studio  ,,60000.0
2821,Blazing Angels 2: Secret Missions of WWII,X360,72.0,7.8,2007,Simulation,Ubisoft  ,Ubisoft Romania  ,7.6,140000.0
2822,Star Ocean: The Last Hope,X360,72.0,7.3,2009,Role-Playing,Square Enix  ,tri-Ace  ,7.3,790000.0
2823,Ultimate Ghosts 'n Goblins,PSP,72.0,8.0,2006,Platform,Capcom  ,Capcom  ,7.3,80000.0
2824,NBA Live 18,PS4,72.0,5.9,2017,Sports,EA Sports  ,EA Sports  ,,240000.0
2825,The Club,PS3,72.0,6.5,2008,Shooter,Sega  ,Bizarre Creations  ,,230000.0
2826,Mirror's Edge Catalyst,XOne,72.0,5.8,2016,Platform,Electronic Arts  ,EA DICE  ,,190000.0
2827,Dragon Ball Z: Burst Limit,X360,72.0,7.8,2008,Fighting,Atari  ,Dimps Corporation  ,7.3,490000.0
2828,The Sims: Life Stories,PC,72.0,7.3,2007,Simulation,Electronic Arts  ,Maxis  ,,10000.0
2829,Romance of the Three Kingdoms VII,PS2,72.0,8.6,2002,Strategy,KOEI  ,Koei  ,,320000.0
2830,Pirates: The Legend of Black Kat,PS2,72.0,8.1,2002,Adventure,Electronic Arts  ,Westwood Studios  ,,140000.0
2831,ESPN International Track & Field,PS2,72.0,7.3,2000,Sports,Konami  ,Konami  ,,190000.0
2832,Fantavision,PS2,72.0,6.6,2000,Puzzle,Sony Computer Entertainment  ,SCEI  ,8.0,470000.0
2833,Skylanders Imaginators,NS,72.0,5.5,2017,Platform,Activision  ,Toys for Bob  ,6.9,230000.0
2834,Let It Die,PS4,72.0,7.1,2020,Action,GungHo  ,Grasshopper Manufacture  ,,10000.0
2835,State of Decay: Year One Survival Edition,XOne,72.0,6.9,2015,Action-Adventure,Microsoft Studios  ,Undead Labs  ,,210000.0
2836,WWE 2K16,XOne,72.0,5.3,2015,Sports,Take-Two Interactive  ,Yuke's  ,,630000.0
2837,Resonance of Fate,PS3,72.0,8.0,2010,Role-Playing,Sega  ,tri-Ace  ,7.5,740000.0
2838,rain,PS3,72.0,7.8,2013,Action-Adventure,Sony Computer Entertainment  ,PlayStation C.A.M.P.!  ,,50000.0
2839,Call of Juarez,PC,72.0,7.6,2007,Shooter,Ubisoft  ,Techland  ,6.7,10000.0
2840,Ray Gigant,PSV,72.0,8.1,2016,Role-Playing,Acttil  ,Experience Inc.  ,,50000.0
2841,Attack on Titan 2,NS,72.0,7.1,2018,Action,Koei Tecmo  ,Omega Force  ,7.0,230000.0
2842,Dragon Ball Z: Budokai Tenkaichi 3,Wii,72.0,8.5,2007,Fighting,Atari  ,Spike / Bandai Namco Games  ,7.5,1030000.0
2843,Dungeon Siege III,X360,72.0,5.9,2011,Role-Playing,Square Enix  ,Obsidian Entertainment  ,7.2,370000.0
2844,Syberia,XB,72.0,7.0,2003,Adventure,XS Games  ,Microids  ,,100000.0
2845,LEGO The Hobbit,PS4,72.0,6.6,2014,Action-Adventure,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,620000.0
2846,Medal of Honor,PC,72.0,6.5,2010,Shooter,Electronic Arts  ,EA Los Angeles  ,,490000.0
2847,WWE '12,PS3,72.0,6.8,2011,Fighting,THQ  ,"Yuke's Co., Ltd.  ",9.0,1180000.0
2848,Wolfenstein,X360,72.0,7.4,2009,Shooter,Activision  ,Raven Software  ,7.3,560000.0
2849,Styx: Shards of Darkness,PC,72.0,7.7,2017,Action,Focus Home Interactive  ,Cyanide Studio  ,,10000.0
2850,Section 8,PC,72.0,6.9,2009,Shooter,SouthPeak Interactive  ,TimeGate Studios  ,,50000.0
2851,Champions Online,PC,72.0,6.1,2009,Role-Playing,Atari  ,Cryptic Studios  ,,10000.0
2852,The Raven Remastered,PS4,72.0,5.9,2018,Adventure,THQ Nordic  ,KING Art Games  ,,30000.0
2853,Sword Art Online: Fatal Bullet,XOne,72.0,7.4,2018,Role-Playing,Namco Bandai Games  ,Dimps Corporation  ,,100000.0
2854,Psycho-Pass: Mandatory Happiness,PS4,72.0,6.7,2016,Visual Novel,NIS America  ,5pb. Inc.  ,,150000.0
2855,The Inner World,PC,72.0,7.7,2013,Adventure,Headup Games  ,Headup Games  ,,30000.0
2856,Brink,PS3,72.0,5.8,2011,Shooter,Bethesda Softworks  ,Splash Damage  ,7.1,730000.0
2857,Stoked: Big Air Edition,X360,72.0,7.7,2009,Sports,Destineer  ,Bongfish GmbH  ,8.6,40000.0
2858,Sega GT Online,XB,72.0,7.7,2004,Racing,Sega  ,Wow Entertainment  ,,80000.0
2859,Dynasty Warriors 4: Xtreme Legends,PS2,72.0,8.3,2003,Action,KOEI  ,Omega Force  ,,860000.0
2860,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,GBA,72.0,8.6,2003,Misc,Konami  ,KCEJ  ,,950000.0
2861,NFL Fever 2003,XB,72.0,8.5,2002,Sports,Microsoft Game Studios  ,Microsoft Game Studios  ,,610000.0
2862,Apex Construct,PS4,72.0,6.6,2018,Action,Perp Games  ,Fast Travel Games  ,,50000.0
2863,Mercenaries 2: World in Flames,PS3,72.0,7.2,2008,Shooter,Electronic Arts  ,Pandemic Studios  ,6.0,870000.0
2864,Final Fantasy Type-0 HD,XOne,72.0,8.2,2015,Role-Playing,Square Enix  ,Square Enix  ,,300000.0
2865,Styx: Shards of Darkness,XOne,72.0,7.2,2017,Action,Focus Home Interactive  ,Cyanide Studio  ,,60000.0
2866,Justice League Heroes: The Flash,GBA,72.0,7.4,2006,Action,Warner Bros. Interactive  ,WayForward Technologies  ,8.0,30000.0
2867,Gray Matter,PC,72.0,7.7,2011,Adventure,Viva Media  ,Wizarbox Studios  ,7.3,80000.0
